supplier_id;name;swsdfid;swsdpid;Vendor No_
986;AB9999+ AEROBRIDGE UNION;39373863;15861076;
1056;AD12468 GREENFIELD INTERVEST LTD;42565954;0;
369;AE3333 AEGNA;0;16222218;
522;AEROFIRST;10924118;0;
403;AHK111 HELLO KITTY ARIAL;0;16223048;
990;AJ00001 AJMAL;45124188;0;
991;AJ5545 ALEXANDRE J лхмхсл;45123556;16222783;
1210;AL55111 ALAIA BPI;45125537;16223792;
458;AL55544 юкэ рпеид;0;16223429;
526;AL88888 MASTER SERVICE COMPANY;33547545;0;
368;AM10001 A.MARTINI пхьщя;0;15233565;
1224;AN2014 ARIAL(SOCHI / NOVOSIBIRSK);0;16223067;
993;AO12345 ALYSON OLDOINI INTERLUX 2;45125271;0;
370;AP 12345 AGENT PROVOCATEUR-едхмюъ ебпною;0;15640999;
988;AR10016 AGATHA RUIZ DE LA PRADA PUIG;21046073;16223624;
528;AS23456 THE ART OF SHAVING;31862246;0;
998;AS33354 ASHFORD;45124219;0;
1241;ASHFORD;45126191;0;O_SUP668
1211;ASI412 ASI OOO;45125582;16223739;
377;B00002 BONA CONFECTIONARY ZAO;0;10902898;
529;B10001 BARAKA JEW - GENERLUX;10907346;0;
42;B10027 ISSEY MIYAKI BPI;10907387;16222992;
1069;B10028 JEAN PAUL GAUTIER BPI;10907293;0;
43;B10029 NARCISO RODRIGUES BPI;10908145;16222990;
1010;B10044 BROWN FORMAN BEVERAGE;10907440;0;O_SUP485
534;B10062 BAUME & MERCIER SA;10907244;0;
535;B10080 BLAVOD DRINKS LTD;10907547;0;
536;B10081 BORIE-MANOUX WINES;10907388;0;O_SUP488
538;B11115 BALMAIN WATCH;10907185;0;O_SUP209
1008;B11555 BONA 000;18666543;12499656;
463;B1212345 ахц рпщид ннн;0;13534474;
381;B13578 BVLGARY - едхмюъ ебпною;0;14008192;
953;B14270 апюгхя кнцхярхй;0;16223699;I_SUP406
1005;B14673 BIOTHERM PBI;10907549;14348260;
374;B23456 BALDESSARINI -едхмюъ ебпною;0;14030123;
1004;B33333 BELVEDERE;28366568;0;
378;B34567 BOSS - едхмюъ ебпною;0;14008004;
1006;B51551 BISQUIT COGNAC;30663658;0;O_SUP492
49;B54321 BYREDO ESTERK;45123746;16222849;
462;B55555 аеметхр;0;16222627;
376;B56789 BOBBY BROWN;0;15980829;
548;B68701 BACARDI GMBH;11381585;0;
379;B87452 BRIC'S;0;16150193;
1000;B99911 BAIKAL JSL;45120829;0;
375;B99999 BIOTHERM SKY;0;13672106;
50;BB55515 BETTY BARCLAY - едхмюъ ебпною;0;15054381;
1003;BE56565 BEGEMOT;45120899;0;
1246;BEST WINE;45125713;0;
1114;BIK1113 OOO BIK;45124232;16223339;
380;BR00005 BROSWAY;0;15979121;
52;BR75321 BURBERRY BPI;43255913;16223562;
1007;BS55545 BODY SHOP;43252561;16222668;
553;BV12399 BVLGARY;28479158;0;
487;C00002 я-2 тхплю OOO;0;11076376;
488;C00005 ябй рд гюн;0;11041678;
555;C02376 DAVID CAMPARI;10907350;0;
1013;C05723 CAMUS INTERNATIONAL;10907391;0;O_SUP496
556;C100006 CARAN D'ARCHE;10907352;0;
1025;C10020 CLINIQUE E.LAUDER;10907445;0;O_SUP103
1015;C10023 CARRERA JEWELLERY;10907488;0;O_SUP215
1016;C10031 CARTIER INT FASHION;10907552;0;I_SUP171
1024;C10032 CLARINS SWAROVSKI;28413105;0;
559;C10033 CLARINS EXPORT DIVISION;10907489;0;
562;C10037 CLARINS THIERRY MUGLER;10907187;0;
567;C10070 COCA-COLA REFRESHMENT;10907490;0;
569;C10260 CANON EURO;10907491;0;
1031;C10300 CRISTALL-LEFORTOVO OOO;30320649;0;
469;C11110 йнйю-йнкю щивахях ебпюгхъ;0;10902911;I_SUP071
1022;C21212 CHURCHILLS;28487171;14832869;
390;C23456 COTY;0;15091267;
59;C27565 CHANEL PARFUMS;10907446;15913684;
1021;C31805 CHRISTIAN DIOR;10907189;15316079;
391;C32165 CURAPROX;0;14888364;
61;C33331 CLARINS;0;15418168;O_SUP089
383;C34678 CALVIN KLEIN - едхмюъ ебпною;0;14008005;
386;C54320 CHLOE - едхмюъ ебпною;0;14008007;
1018;C55555 CELLCOSMET & CELLMEN;31846685;0;
575;C60708 L CONNAUGHTON & SON;10907447;0;
1131;C69999 RASKAT TD;35299122;0;
577;C87452 A.T.CROSS LTD;10907448;0;
1017;C96385 CEDC;42829327;0;
419;C99918 MCG CONSULTANTS;0;15401914;
384;CA16543 CARNER OF BARCELONA оюптчл оюкюя;0;16222308;
1251;CA16543 оюптчл оюкюя;0;16222308;
389;CC87654 COMME DES GARCONS едхмюъ ебпною;0;15582048;
385;CE32100 CERRUTI - едхмюъ ебпною;0;15012418;
382;CH12345 C.HERRERA - едхмюъ ебпною;0;14008006;
1023;CK11111 CK WATCH & JEW CO;20820656;0;
1030;CM00006 CREME DE LA MER E.LAUDER;25775436;0;
387;CO2222 CODELLO;0;16145612;
1028;CO78404 COCOROSE;37872437;0;
587;D00235 DEBRISE DULAC;26043240;0;
588;D10003 DAVIDOFF INTERNATIONAL;10907250;0;
71;D10005 йщмдхкюим ннн;0;13530515;I_SUP148
595;D10059 UNOAERRE;10907191;0;
597;D11153 MAGERIT DARROW EURO;10907452;0;
599;D12321 DUBEY & SCHALDENBRAND;10907252;0;O_SUP216
1115;D12329 OOO цй дюилнмд;43267543;0;
72;D20030 DOLCE & GABBANA P&G;0;16222253;
1035;D30030 DOLCE & GABBANA MAKE-UP P&G;45123004;0;
603;D34567 DOLCE & GABBANA;10907355;0;
392;D35678 D&G - едхмюъ ебпною;0;14008010;
1032;D50010 D&G P&G;24892618;0;
76;DE22222 DESIGUAL;0;15981558;
394;DG23456 DOLCE&GABBANA - едхмюъ ебпною;0;14008124;
1039;DK33331 DYRBERG KERN;45123595;15981228;
1038;DU55545 DUC D`O;45123194;0;
1037;DZ55555 DREVO ZHIZNI OOO;42073729;15962795;
1041;E03033 EDOX;32653273;16080150;
468;E10000 едхмюъ ебпною ункдхмц;0;10912753;I_SUP123
949;E10001 щйяоняепбхя OOO;0;10908930;
85;E10022 ESCADA P&G;0;16222630;
1132;E10051 RATTI;10907359;0;
396;E11115 EUROITALIA DP;0;13085509;
1043;E12345 ES.MOLECULES ESTERK;16904957;14122386;
1113;E12468 ESTERK;25843088;16223481;
415;E15200 LAMARTHE ELIT BAGS;0;16222207;
393;E16100 DELSEY ELIT BAGS;0;16064646;
399;E17100 GIORGIO FEDON & FIGLI SPA;0;16222237;
950;E20002 щйяонрпеид ннн;0;14183052;
