supplier_id;name;swsdfid;swsdpid
386;C54320 CHLOE - едхмюъ ебпною;0;14008007
387;CO2222 CODELLO;0;16145612
388;я33311 COFFEE BREND DISTRIBUTION;0;13527375
389;CC87654 COMME DES GARCONS едхмюъ ебпною;0;15582048
390;C23456 COTY;0;15091267
391;C32165 CURAPROX;0;14888364
392;D35678 D&G - едхмюъ ебпною;0;14008010
393;E16100 DELSEY ELIT BAGS;0;16064646
394;DG23456 DOLCE&GABBANA - едхмюъ ебпною;0;14008124
395;E34567 ESCADA - едхмюъ ебпною;0;14030159
396;E11115 EUROITALIA DP;0;13085509
397;F15666 FERRAGAMO - едхмюъ Eбпною;0;14008193
398;F55555 FRUITBERRY - едхмюъ ебпною;0;15263234
399;E17100 GIORGIO FEDON & FIGLI SPA;0;16222237
400;E55552 GIULIETTA CAPULETI EXILITY;0;16223569
401;G20304 GUCCI - едхмюъ ебпною;0;14008125
402;HD98765 HANSE DISTRIBUTION GMBH;0;15481552
403;AHK111 HELLO KITTY ARIAL;0;16223048
404;HK11111 HELLO KITTY пхьея;0;15357863
405;I44444 ICE WATCH;0;15103684
406;I13567 ICEBERG - едхмюъ ебпною;0;14875506
407;I33333 INTEL MSK;0;16223195
408;JL22222 JACQUES LEMANS;0;15098136
409;JB00700 JAMES BOND едхмюъ ебпною;0;15582039
410;J11154 JUICY COUTURE - едхмюъ ебпною;0;15439137
411;K55543 K & K;0;16222221
412;K30013 KIMMI пхьщя;0;15233568
413;K02000 KONDI-2000 OOO;0;10902948
414;LC23456 LACOSTE - едхмюъ ебпною;0;14008246
415;E15200 LAMARTHE ELIT BAGS;0;16222207
416;L65655 LANCASTER - едхмюъ ебпною;0;14116318
417;L0001 LANCOME DP SKY;0;11852186
418;MA252000 MAMIX;0;14050013
419;C99918 MCG CONSULTANTS;0;15401914
420;E55553 MIMMINA FLOWER EXILITY;0;16223570
421;M10555 MISAKI V.T.LTD;0;10902970
422;M56789 MOSCHINO - едхмюъ ебпною;0;14008128
423;NR12345 NINA RICCI - едхмюъ ебпною;0;14008129
424;PR23334 PACO RABANNE - едхмюъ ебпною;0;14008262
426;PA55555 PARKER;0;15407860
428;P66651 PRADA - едхмюъ ебпною;0;14382789
429;PT23456 PT SWITZELAND;0;15971533
431;IRISHBAR DP;0;10971587
432;R11133 RICH бхйрнпхъ;0;16222765
433;RC12345 ROBERTO CAVALLI - едхмюъ ебпною;0;15439549
434;R99999 ROSALKO-NEVA ZAO;0;13698064
435;S13579 SAG TRADING LLC;0;15964075
436;SH33333_SCHCHARD&FRIESE;0;16223050
437;S10333 SCORPIO TRAVEL RETAIL;0;11450576
438;S88888 SEEBERGER;0;16222282
439;S50005 SELDICO DIOR;0;13978112
440;S20002 SELDICO GIVENCHY;0;13978109
441;S30003 SELDICO GUERLAIN;0;13978110
442;S40004 SELDICO KENZO;0;13978111
443;S10001 SELDICO OLD;0;10903002
444;S99999 STETSON;0;16222281
445;TK11511 TBN KENNETH COLE;0;16223333
446;TA11511 TBN TIME(AEROWATCH);0;15946228
447;TG11511 TBN TIME(GALLIANO);0;15946229
448;TJ11511 TBN TIME(JOHN GALLIANO);0;15946230
449;T22299 TBN TIME(MOSCHINO);0;14115684
450;TS11511 TBN TIME(SEIKO);0;15946227
451;T76543 TINTAMAR;0;14832865
452;E55546 TORRE EXILITI;0;16165067
453;T4512SK TOSCOW;0;15975543
454;V54321 VALENTINO - едхмюъ ебпною;0;14344790
455;V32100 VERSACE - едхмюъ ебпною;0;14008191
456;WA55555 WATERMAN;0;15407861
457;W22222 WHTEHOUSE LEISURE LLP;0;14867976
458;AL55544 юкэ рпеид;0;16223429
459;AB55555 юпр аюгюп;0;15347108
460;M33000 юя-люпйер;0;13441619
461;A23456 юяр-хмрепмщьмк OOO;0;11269170
462;B55555 аеметхр;0;16222627
463;B1212345 ахц рпщид ннн;0;13534474
