"LOC_ID";"QTY";"RETAIL";"COSTB";"RETAIL_AMOUNT";"COST_AMOUNT_B";"COST_AMOUNT_ALT";"COST_AMOUNT_ALT1";"GOOD_ID";"DATE_ID";"SUPPLY_NAME";"SUPPLY_DATE";"SUPPLY_QTY";"SUPCOST_AMOUNT_B";"SUPCOST_AMOUNT_ALT"
13928046;3.0;1600.0;963.0;4800.0;2889.0;71.82;91.73;1673401;01.01.2013 0:00:00;"20879";12.11.2012 0:00:00;10.0;0.0;0.0
10903039;10.0;1600.0;963.0;16000.0;9630.0;239.44;313.79;1673401;01.01.2013 0:00:00;"21288";17.12.2012 0:00:00;10.0;0.0;0.0
10903039;2.0;1600.0;963.0;3200.0;1926.0;48.0;62.2;1673401;01.01.2013 0:00:00;"21163";10.12.2012 0:00:00;10.0;0.0;0.0
13928046;8.0;1600.0;945.0;12800.0;7559.99;188.4;244.13;1673751;01.01.2013 0:00:00;"21198";10.12.2012 0:00:00;20.0;0.0;0.0
10903039;20.0;1600.0;945.0;32000.0;18899.98;465.96;615.24;1673751;01.01.2013 0:00:00;"21382";24.12.2012 0:00:00;20.0;0.0;0.0
15511191;540.0;40.0;35.99;21600.0;19434.6;483.84;630.18;1674176;01.01.2013 0:00:00;"21123";04.12.2012 0:00:00;1200.0;0.0;0.0
15511191;2400.0;40.0;35.99;96000.0;86376.0;2126.4;2803.2;1674176;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;2400.0;0.0;0.0
15511191;204.0;70.0;35.99;14280.0;7341.96;180.74;238.27;1674177;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
15511191;180.0;70.0;35.99;12600.0;6478.2;159.48;210.24;1674178;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
15511191;24.0;70.0;47.2;1680.0;1132.8;28.13;36.86;1674179;01.01.2013 0:00:00;"20655";19.10.2012 0:00:00;480.0;0.0;0.0
15511191;120.0;70.0;47.2;8400.0;5664.0;141.0;183.72;1674179;01.01.2013 0:00:00;"21123";04.12.2012 0:00:00;120.0;0.0;0.0
15511191;240.0;70.0;47.2;16800.0;11328.0;278.88;367.68;1674179;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
11263292;37.0;130.0;47.2;4810.0;1746.4;43.36;56.83;1674179;01.01.2013 0:00:00;"20655";19.10.2012 0:00:00;480.0;0.0;0.0
13928061;60.0;90.0;50.74;5400.0;3044.4;74.88;99.0;1674181;01.01.2013 0:00:00;"21338";21.12.2012 0:00:00;60.0;0.0;0.0
13928046;20.0;90.0;50.74;1800.0;1014.8;24.98;32.36;1674181;01.01.2013 0:00:00;"20813";02.11.2012 0:00:00;120.0;0.0;0.0
15511191;12.0;90.0;50.74;1080.0;608.88;14.99;19.76;1674181;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;12.0;0.0;0.0
13928061;480.0;50.0;24.78;24000.0;11894.4;292.8;386.88;1674194;01.01.2013 0:00:00;"21338";21.12.2012 0:00:00;480.0;0.0;0.0
13928046;71.0;50.0;24.78;3550.0;1759.38;43.31;56.09;1674194;01.01.2013 0:00:00;"20813";02.11.2012 0:00:00;360.0;0.0;0.0
13928061;216.0;50.0;24.78;10800.0;5352.48;131.76;170.64;1674194;01.01.2013 0:00:00;"20813";02.11.2012 0:00:00;360.0;0.0;0.0
15511191;1296.0;50.0;24.78;64800.0;32114.88;790.56;1041.98;1674196;01.01.2013 0:00:00;"21420";25.12.2012 0:00:00;1296.0;0.0;0.0
13928046;116.0;50.0;24.78;5800.0;2874.48;70.76;93.5;1674196;01.01.2013 0:00:00;"21338";21.12.2012 0:00:00;1296.0;0.0;0.0
13928061;1008.0;50.0;24.78;50400.0;24978.24;614.88;812.45;1674196;01.01.2013 0:00:00;"21338";21.12.2012 0:00:00;1296.0;0.0;0.0
15511191;120.0;50.0;24.78;6000.0;2973.6;73.8;96.84;1674196;01.01.2013 0:00:00;"20655";19.10.2012 0:00:00;240.0;0.0;0.0
15511191;480.0;50.0;24.78;24000.0;11894.4;296.16;385.92;1674196;01.01.2013 0:00:00;"21123";04.12.2012 0:00:00;480.0;0.0;0.0
11263292;179.0;335.0;126.43;59965.0;22630.25;561.17;739.81;1676927;01.01.2013 0:00:00;"21440";26.12.2012 0:00:00;2160.0;0.0;0.0
