"LOC_ID";"QTY";"RETAIL";"COSTB";"RETAIL_AMOUNT";"COST_AMOUNT_B";"COST_AMOUNT_ALT";"COST_AMOUNT_ALT1";"GOOD_ID";"DATE_ID";"SUPPLY_NAME";"SUPPLY_DATE";"SUPPLY_QTY";"SUPCOST_AMOUNT_B";"SUPCOST_AMOUNT_ALT"
10903030;60.0;1800.0;819.0;108000.0;49140.0;1207.5;1561.08;1670783;02.01.2013 0:00:00;"20739";29.10.2012 0:00:00;60.0;0.0;0.0
10903030;20.0;1800.0;819.0;36000.0;16380.0;410.44;514.94;1670783;02.01.2013 0:00:00;"20005";27.08.2012 0:00:00;20.0;0.0;0.0
10903030;20.0;1800.0;819.0;36000.0;16380.0;407.8;526.1;1670783;02.01.2013 0:00:00;"20450";03.10.2012 0:00:00;20.0;0.0;0.0
10903039;71.0;1350.0;819.0;95850.0;58149.0;1449.11;1877.81;1670783;02.01.2013 0:00:00;"21201";10.12.2012 0:00:00;100.0;0.0;0.0
13928059;3.0;1350.0;819.0;4050.0;2457.0;61.23;79.34;1670783;02.01.2013 0:00:00;"21201";10.12.2012 0:00:00;100.0;0.0;0.0
13928046;3.0;1350.0;819.0;4050.0;2457.0;61.23;79.34;1670783;02.01.2013 0:00:00;"21201";10.12.2012 0:00:00;100.0;0.0;0.0
13140183;1.0;1800.0;819.0;1800.0;780.0;20.1;26.42;1670783;02.01.2013 0:00:00;"18759";23.04.2012 0:00:00;40.0;0.0;0.0
13140182;1.0;1800.0;819.0;1800.0;748.8;18.87;26.63;1670783;02.01.2013 0:00:00;"15251";17.05.2011 0:00:00;50.0;0.0;0.0
10903030;18.0;1800.0;819.0;32400.0;14040.0;353.2;447.25;1670783;02.01.2013 0:00:00;"18951";21.05.2012 0:00:00;40.0;0.0;0.0
13140179;36.0;1800.0;819.0;64800.0;29484.0;733.32;949.36;1670783;02.01.2013 0:00:00;"21104";30.11.2012 0:00:00;60.0;0.0;0.0
10903030;24.0;1800.0;819.0;43200.0;19656.0;488.88;632.9;1670783;02.01.2013 0:00:00;"21104";30.11.2012 0:00:00;60.0;0.0;0.0
13928059;6.0;1350.0;819.0;8100.0;4914.0;122.22;158.23;1670783;02.01.2013 0:00:00;"21101";30.11.2012 0:00:00;40.0;0.0;0.0
11263293;1.0;1550.0;525.03;1550.0;525.03;13.95;17.22;1671525;02.01.2013 0:00:00;"12814";31.05.2010 0:00:00;1.0;0.0;0.0
10903030;256.0;1700.0;698.08;435200.0;178708.99;4584.19;5892.1;1672002;02.01.2013 0:00:00;"18928";16.05.2012 0:00:00;263.0;0.0;0.0
10903030;13.0;1700.0;698.08;22100.0;9646.03;248.14;327.54;1672002;02.01.2013 0:00:00;"18286";07.03.2012 0:00:00;119.0;0.0;0.0
13140182;2.0;1700.0;698.08;3400.0;1704.0;41.76;61.96;1672002;02.01.2013 0:00:00;"15131";03.05.2011 0:00:00;104.0;0.0;0.0
13140182;1.0;1700.0;698.08;1700.0;738.69;18.46;24.4;1672002;02.01.2013 0:00:00;"14120";29.12.2010 0:00:00;52.0;0.0;0.0
13140182;1.0;1700.0;698.08;1700.0;806.31;19.17;27.11;1672002;02.01.2013 0:00:00;"11808";25.01.2010 0:00:00;150.0;0.0;0.0
13140182;1.0;1700.0;698.08;1700.0;807.4;18.82;28.16;1672002;02.01.2013 0:00:00;"11128";13.11.2009 0:00:00;106.0;0.0;0.0
10946017;7.0;1950.0;698.08;13650.0;4886.57;125.35;161.11;1672002;02.01.2013 0:00:00;"18928";16.05.2012 0:00:00;263.0;0.0;0.0
13140179;167.0;1700.0;698.08;283900.0;121263.88;3098.18;3801.25;1672002;02.01.2013 0:00:00;"19905";17.08.2012 0:00:00;202.0;0.0;0.0
10903030;35.0;1700.0;698.08;59500.0;25414.59;649.32;796.67;1672002;02.01.2013 0:00:00;"19905";17.08.2012 0:00:00;202.0;0.0;0.0
10903039;24.0;590.0;339.38;14160.0;8145.12;203.33;266.16;1672941;02.01.2013 0:00:00;"21266";14.12.2012 0:00:00;84.0;0.0;0.0
13928046;10.0;590.0;339.38;5900.0;3393.8;84.72;110.9;1672941;02.01.2013 0:00:00;"21266";14.12.2012 0:00:00;84.0;0.0;0.0
13928046;7.0;430.0;245.87;3010.0;1721.09;42.36;55.87;1672942;02.01.2013 0:00:00;"21410";25.12.2012 0:00:00;24.0;0.0;0.0
10903039;15.0;3450.0;2056.24;51750.0;30843.6;759.26;981.12;1673360;02.01.2013 0:00:00;"20780";30.10.2012 0:00:00;26.0;0.0;0.0
13928059;3.0;3450.0;2056.24;10350.0;6168.72;153.41;197.96;1673360;02.01.2013 0:00:00;"20268";26.09.2012 0:00:00;15.0;0.0;0.0
13928059;11.0;3450.0;2056.24;37950.0;22618.64;556.79;719.49;1673360;02.01.2013 0:00:00;"20780";30.10.2012 0:00:00;26.0;0.0;0.0
10903039;6.0;4800.0;2874.32;28800.0;17245.89;436.21;539.86;1673362;02.01.2013 0:00:00;"19784";07.08.2012 0:00:00;30.0;0.0;0.0
13928059;10.0;4800.0;2874.32;48000.0;28743.15;727.02;899.77;1673362;02.01.2013 0:00:00;"19784";07.08.2012 0:00:00;30.0;0.0;0.0
10903039;10.0;1600.0;963.0;16000.0;9630.0;237.41;313.48;1673401;02.01.2013 0:00:00;"21363";24.12.2012 0:00:00;10.0;0.0;0.0
13928046;8.0;1600.0;963.0;12800.0;7704.0;191.99;248.78;1673401;02.01.2013 0:00:00;"21163";10.12.2012 0:00:00;10.0;0.0;0.0
10903039;2.0;1600.0;963.0;3200.0;1926.0;48.0;62.2;1673401;02.01.2013 0:00:00;"21163";10.12.2012 0:00:00;10.0;0.0;0.0
10903039;10.0;1600.0;963.0;16000.0;9630.0;239.44;313.79;1673401;02.01.2013 0:00:00;"21288";17.12.2012 0:00:00;10.0;0.0;0.0
13928046;3.0;1600.0;963.0;4800.0;2889.0;71.82;91.73;1673401;02.01.2013 0:00:00;"20879";12.11.2012 0:00:00;10.0;0.0;0.0
13928046;7.0;1600.0;945.0;11200.0;6614.99;164.85;213.61;1673751;02.01.2013 0:00:00;"21198";10.12.2012 0:00:00;20.0;0.0;0.0
10903039;16.0;1600.0;945.0;25600.0;15119.98;372.77;492.19;1673751;02.01.2013 0:00:00;"21382";24.12.2012 0:00:00;20.0;0.0;0.0
15511191;420.0;40.0;35.99;16800.0;15115.8;376.32;490.14;1674176;02.01.2013 0:00:00;"21123";04.12.2012 0:00:00;1200.0;0.0;0.0
15511191;2400.0;40.0;35.99;96000.0;86376.0;2126.4;2803.2;1674176;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;2400.0;0.0;0.0
15511191;204.0;70.0;35.99;14280.0;7341.96;180.74;238.27;1674177;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
15511191;180.0;70.0;35.99;12600.0;6478.2;159.48;210.24;1674178;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
15511191;120.0;70.0;47.2;8400.0;5664.0;141.0;183.72;1674179;02.01.2013 0:00:00;"21123";04.12.2012 0:00:00;120.0;0.0;0.0
15511191;240.0;70.0;47.2;16800.0;11328.0;278.88;367.68;1674179;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;240.0;0.0;0.0
11263292;9.0;130.0;47.2;1170.0;424.8;10.55;13.82;1674179;02.01.2013 0:00:00;"20655";19.10.2012 0:00:00;480.0;0.0;0.0
13928046;19.0;90.0;50.74;1710.0;964.06;23.73;30.74;1674181;02.01.2013 0:00:00;"20813";02.11.2012 0:00:00;120.0;0.0;0.0
13928061;48.0;90.0;50.74;4320.0;2435.52;59.9;79.2;1674181;02.01.2013 0:00:00;"21338";21.12.2012 0:00:00;60.0;0.0;0.0
13928046;12.0;90.0;50.74;1080.0;608.88;14.98;19.8;1674181;02.01.2013 0:00:00;"21338";21.12.2012 0:00:00;60.0;0.0;0.0
15511191;12.0;90.0;50.74;1080.0;608.88;14.99;19.76;1674181;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;12.0;0.0;0.0
13928061;480.0;50.0;24.78;24000.0;11894.4;292.8;386.88;1674194;02.01.2013 0:00:00;"21338";21.12.2012 0:00:00;480.0;0.0;0.0
13928046;89.0;50.0;24.78;4450.0;2205.42;54.29;70.31;1674194;02.01.2013 0:00:00;"20813";02.11.2012 0:00:00;360.0;0.0;0.0
13928061;192.0;50.0;24.78;9600.0;4757.76;117.12;151.68;1674194;02.01.2013 0:00:00;"20813";02.11.2012 0:00:00;360.0;0.0;0.0
15511191;96.0;50.0;24.78;4800.0;2378.88;59.04;77.47;1674196;02.01.2013 0:00:00;"20655";19.10.2012 0:00:00;240.0;0.0;0.0
15511191;1296.0;50.0;24.78;64800.0;32114.88;790.56;1041.98;1674196;02.01.2013 0:00:00;"21420";25.12.2012 0:00:00;1296.0;0.0;0.0
15511191;480.0;50.0;24.78;24000.0;11894.4;296.16;385.92;1674196;02.01.2013 0:00:00;"21123";04.12.2012 0:00:00;480.0;0.0;0.0
13928061;960.0;50.0;24.78;48000.0;23788.8;585.6;773.76;1674196;02.01.2013 0:00:00;"21338";21.12.2012 0:00:00;1296.0;0.0;0.0
