Division_Code;PLU;Barcode;Blocked
NULL;349763;2020001390717;0
NULL;349764;2020001390724;0
NULL;324352;2031020405313;0
NULL;324349;2031020405412;0
NULL;370059;27312040006100;0
NULL;260567;2020000340829;0
NULL;288019;2020000901303;0
NULL;291418;2020001046515;0
NULL;291459;2020001046843;0
NULL;291450;2020001047307;0
NULL;291424;2020001047413;0
NULL;349729;2020001381098;0
NULL;365404;2031008200169;0
NULL;351138;2031014100057;0
NULL;260665;2020000174790;0
NULL;260579;2020000245681;0
NULL;260558;2020000340690;0
NULL;280461;2020000719953;0
NULL;280455;2020000747901;0
NULL;280502;2020000787358;0
NULL;280401;2020000788034;0
NULL;288000;2020000900252;0
NULL;288015;2020000901204;0
NULL;291455;2020001047277;0
NULL;349739;2020001381067;0
NULL;349749;2020001381159;0
NULL;351142;2031015600044;0
NULL;359197;2031022800024;0
NULL;260595;2020000140443;0
NULL;260667;2020000174806;0
NULL;280480;2020000708612;0
NULL;280460;2020000787297;0
NULL;280394;2020000787402;0
NULL;280373;2020000788164;0
NULL;287997;2020000900276;0
NULL;288003;2020000900344;0
NULL;288923;2020000951315;0
NULL;291453;2020001047253;0
NULL;291431;2020001053001;0
NULL;349752;2020001379712;0
NULL;260587;2020000245865;0
NULL;280430;2020000708575;0
NULL;280465;2020000720171;0
NULL;280497;2020000720492;0
NULL;349765;2020001384761;0
NULL;365402;2031008200145;0
NULL;324350;2031020405405;0
NULL;234022;23250510109422;0
NULL;260596;2020000140498;0
NULL;260653;2020000248132;0
NULL;280474;2020000708728;0
NULL;280462;2020000720010;0
NULL;280447;2020000793014;0
NULL;288020;2020000898962;0
NULL;287996;2020000900245;0
NULL;288922;2020000951322;0
NULL;349753;2020001379736;0
NULL;349746;2020001380954;0
NULL;351145;2031007300075;0
NULL;359198;2031022800048;0
NULL;260673;2020000189480;0
NULL;280438;2020000702214;0
NULL;280475;2020000708735;0
NULL;288016;2020000901242;0
NULL;291454;2020001047260;0
NULL;349736;2020001381005;0
NULL;260581;2020000224044;0
NULL;260570;2020000245780;0
NULL;260549;2020000341574;0
NULL;280442;2020000708643;0
NULL;280457;2020000747925;0
NULL;280500;2020000787334;0
NULL;287999;2020000900337;0
NULL;288013;2020000901167;0
NULL;291443;2020001046331;0
NULL;291423;2020001047444;0
NULL;349734;2020001380992;0
NULL;349740;2020001381036;0
NULL;351835;2031004600222;0
NULL;346326;2031006800439;0
NULL;351155;2031016400193;0
NULL;324348;2031020405429;0
NULL;260593;2020000175308;0
NULL;260658;2020000189428;0
NULL;260564;2020000340607;0
NULL;260561;2020000340935;0
NULL;260551;2020000341604;0
NULL;280391;2020000720553;0
NULL;288010;2020000900603;0
NULL;291446;2020001046287;0
NULL;291463;2020001046881;0
NULL;291412;2020001047864;0
NULL;291413;2020001047895;0
NULL;349743;2020001380961;0
NULL;351140;2031015600051;0
NULL;286075;23049197710096;0
NULL;260661;2020000190226;0
NULL;260578;2020000245698;0
NULL;260556;2020000341017;0
NULL;280452;2020000720393;0
NULL;291440;2020001046126;0
NULL;291422;2020001047406;0
NULL;349733;2020001381081;0
NULL;349766;2020001384778;0
NULL;251929;2032001135861;0
NULL;311694;2423470473179;0
NULL;200509;26001452415501;0
NULL;351958;20080480283326;0
NULL;260601;2020000279396;0
NULL;280463;2020000720003;0
NULL;288925;2020000926016;0
NULL;291419;2020001047451;0
NULL;349758;2020001378845;0
01;003118;2100000031184;0
01;003480;27312040090109;0
01;008041;27312040017038;0
01;030921;26412709021275;0
01;036844;27312040014037;0
01;036846;27312040020106;0
01;138982;21000087084150;0
01;149923;27501005611019;0
01;151769;27804330141108;0
01;151791;26001452104603;0
01;161500;27312040060102;0
01;161576;2100008897584;0
01;172053;2100001720537;0
01;172771;27312040040104;0
01;200510;26001452426101;0
01;200514;26001452325893;0
01;200537;2000002005377;1
01;200537;26412700572202;1
01;200939;2100002009396;0
01;201051;2100002009297;0
01;205860;26412709554605;0
01;210482;25202795730707;0
01;224898;20835229001149;0
01;229387;24600761313199;0
01;229388;24600761313182;0
01;229390;24600761313311;0
01;229391;24600761313304;0
01;232503;23035542012601;0
01;232681;2000002326816;0
01;251135;24603400000054;0
01;251136;24603400000092;0
01;253574;24603928000987;0
01;259509;2100002595097;0
01;261063;27312040080100;0
01;261065;27312040151008;0
01;277410;2100008707739;0
01;284204;2100008899083;0
01;286353;2000002863533;0
01;286407;24603928000963;0
01;286408;24603928000970;0
01;286410;24603928001939;1
01;291046;23152900001166;0
01;293909;2100008704240;0
01;323763;2100008903346;0
01;341050;26412700571038;0
01;341051;26412700571236;1
01;341053;2100008707852;0
01;341053;26412700531018;0
01;359248;27312040221008;0
01;363127;23219820004353;0
01;363891;26412700021076;0
01;364702;25202795150031;0
01;366588;26412700559005;0
01;367193;2100008708484;0
01;370053;2100008903520;0
01;717763;21000089035130;0
01;720324;21000087085070;0
01;720362;21000087092140;0
01;720363;2100008887844;0
01;720442;21000089165130;0
01;722811;2000007228115;0
01;722812;2000007228122;0
01;722925;2000007229259;0
01;722926;2000007229266;0
01;722927;2000007229273;0
01;722928;2000007229280;0
01;725397;2000007253971;0
01;725402;2000007254022;0
01;737004;2000007370043;0
01;738320;2000007383203;0
01;742210;2000007422100;0
01;745327;2000007453272;0
01;745328;2000007453289;0
01;745329;2000007453296;0
01;750111;2100007501116;0
01;750112;2100007501123;0
01;750139;24603400000191;0
01;750140;24603400000207;0
01;750141;24603400000214;0
01;750142;2100007501420;0
01;750143;24603400000276;0
01;750144;24603400000306;0
01;750177;2100007501772;0
01;750943;24603400000221;0
01;752011;2100007520117;0
01;752040;2100007520407;0
01;752041;2100007520414;0
01;752043;2100007520438;0
01;752057;2100007520575;0
01;752058;2100007520582;0
01;752121;2100007521213;0
01;752122;2100007521220;0
01;752197;2000007521971;1
01;752213;2100007522135;0
01;752232;2100007522326;0
01;752251;24601125034439;0
