PLU;Alco_Grp_Code;Start_Date
140941;230;1753-01-01 00:00:00
142277;230;1753-01-01 00:00:00
143331;280;1753-01-01 00:00:00
143806;410;1753-01-01 00:00:00
143847;280;1753-01-01 00:00:00
144890;280;1753-01-01 00:00:00
145268;280;1753-01-01 00:00:00
145269;230;1753-01-01 00:00:00
145363;211;1753-01-01 00:00:00
145771;280;1753-01-01 00:00:00
145772;280;1753-01-01 00:00:00
146346;230;1753-01-01 00:00:00
149922;280;1753-01-01 00:00:00
149923;280;1753-01-01 00:00:00
149924;280;1753-01-01 00:00:00
150055;280;1753-01-01 00:00:00
150057;280;1753-01-01 00:00:00
151011;280;1753-01-01 00:00:00
151017;280;1753-01-01 00:00:00
151018;280;1753-01-01 00:00:00
151477;280;1753-01-01 00:00:00
151764;410;1753-01-01 00:00:00
151765;410;1753-01-01 00:00:00
151766;410;1753-01-01 00:00:00
151767;410;1753-01-01 00:00:00
151768;410;1753-01-01 00:00:00
151769;410;1753-01-01 00:00:00
151771;410;1753-01-01 00:00:00
151773;410;1753-01-01 00:00:00
151774;410;1753-01-01 00:00:00
151776;410;1753-01-01 00:00:00
151777;410;1753-01-01 00:00:00
151778;410;1753-01-01 00:00:00
151779;410;1753-01-01 00:00:00
151782;410;1753-01-01 00:00:00
151791;410;1753-01-01 00:00:00
151794;410;1753-01-01 00:00:00
151795;410;1753-01-01 00:00:00
151803;410;1753-01-01 00:00:00
152184;280;1753-01-01 00:00:00
152781;230;1753-01-01 00:00:00
159268;280;1753-01-01 00:00:00
161500;200;1753-01-01 00:00:00
161546;200;1753-01-01 00:00:00
161576;280;1753-01-01 00:00:00
163404;280;1753-01-01 00:00:00
166263;211;1753-01-01 00:00:00
166264;200;1753-01-01 00:00:00
171364;230;1753-01-01 00:00:00
171365;230;1753-01-01 00:00:00
172053;410;1753-01-01 00:00:00
172771;200;1753-01-01 00:00:00
200421;280;2013-05-06 00:00:00
200435;402;2014-10-01 00:00:00
200537;200;1753-01-01 00:00:00
200544;200;2014-02-01 00:00:00
200581;400;1753-01-01 00:00:00
200582;212;1753-01-01 00:00:00
200583;211;1753-01-01 00:00:00
200584;280;1753-01-01 00:00:00
200585;280;2012-12-08 00:00:00
200844;211;1753-01-01 00:00:00
200848;280;1753-01-01 00:00:00
200854;280;1753-01-01 00:00:00
200863;280;1753-01-01 00:00:00
200865;280;1753-01-01 00:00:00
200870;211;1753-01-01 00:00:00
200872;200;1753-01-01 00:00:00
200876;280;1753-01-01 00:00:00
200877;280;1753-01-01 00:00:00
200878;280;1753-01-01 00:00:00
200880;450;2014-12-01 00:00:00
200883;280;1753-01-01 00:00:00
200888;280;1753-01-01 00:00:00
200939;280;1753-01-01 00:00:00
200959;280;1753-01-01 00:00:00
200960;280;1753-01-01 00:00:00
200961;280;1753-01-01 00:00:00
200962;280;1753-01-01 00:00:00
200965;280;1753-01-01 00:00:00
200966;280;1753-01-01 00:00:00
200968;280;1753-01-01 00:00:00
200969;460;1753-01-01 00:00:00
200969;462;2015-01-29 00:00:00
201044;450;1753-01-01 00:00:00
201045;450;1753-01-01 00:00:00
201046;242;1753-01-01 00:00:00
201047;242;1753-01-01 00:00:00
201049;211;1753-01-01 00:00:00
201051;280;1753-01-01 00:00:00
201639;450;2014-12-01 00:00:00
201640;211;1753-01-01 00:00:00
201642;211;1753-01-01 00:00:00
201650;400;1753-01-01 00:00:00
201659;400;1753-01-01 00:00:00
201667;400;1753-01-01 00:00:00
202441;280;2012-01-01 00:00:00
202442;450;2013-09-16 00:00:00
202450;280;2014-10-01 00:00:00
202469;211;1753-01-01 00:00:00
202773;280;1753-01-01 00:00:00
202775;280;1753-01-01 00:00:00
202778;280;1753-01-01 00:00:00
202779;280;1753-01-01 00:00:00
202786;280;1753-01-01 00:00:00
202788;280;1753-01-01 00:00:00
203175;211;1753-01-01 00:00:00
203176;280;1753-01-01 00:00:00
203193;280;1753-01-01 00:00:00
203833;211;2014-12-01 00:00:00
203834;211;2014-12-01 00:00:00
203835;211;2014-12-01 00:00:00
203837;230;1753-01-01 00:00:00
203838;230;1753-01-01 00:00:00
203839;230;1753-01-01 00:00:00
204127;460;1753-01-01 00:00:00
204131;212;1753-01-01 00:00:00
204147;280;1753-01-01 00:00:00
204148;280;1753-01-01 00:00:00
204150;280;1753-01-01 00:00:00
204155;280;1753-01-01 00:00:00
204178;280;1753-01-01 00:00:00
204179;280;1753-01-01 00:00:00
204182;460;1753-01-01 00:00:00
204185;280;1753-01-01 00:00:00
204186;280;1753-01-01 00:00:00
204187;280;1753-01-01 00:00:00
204188;280;1753-01-01 00:00:00
204189;400;2012-08-15 00:00:00
204191;280;1753-01-01 00:00:00
204192;280;1753-01-01 00:00:00
204193;280;1753-01-01 00:00:00
204197;230;1753-01-01 00:00:00
204200;280;1753-01-01 00:00:00
204202;280;1753-01-01 00:00:00
204208;280;1753-01-01 00:00:00
204211;280;1753-01-01 00:00:00
204212;230;1753-01-01 00:00:00
204213;280;1753-01-01 00:00:00
204216;280;2014-02-01 00:00:00
204218;280;1753-01-01 00:00:00
204219;280;1753-01-01 00:00:00
204220;211;1753-01-01 00:00:00
204642;280;2013-11-21 00:00:00
204643;280;1753-01-01 00:00:00
204646;410;1753-01-01 00:00:00
204659;280;2013-01-01 00:00:00
204660;410;1753-01-01 00:00:00
204661;280;1753-01-01 00:00:00
205857;211;1753-01-01 00:00:00
205858;212;1753-01-01 00:00:00
205859;200;1753-01-01 00:00:00
205860;200;1753-01-01 00:00:00
206693;280;1753-01-01 00:00:00
207286;280;1753-01-01 00:00:00
209384;440;1753-01-01 00:00:00
211580;280;1753-01-01 00:00:00
211599;230;1753-01-01 00:00:00
211604;230;2013-06-03 00:00:00
212073;230;1753-01-01 00:00:00
212133;200;1753-01-01 00:00:00
212560;450;1753-01-01 00:00:00
212561;450;1753-01-01 00:00:00
214457;211;1753-01-01 00:00:00
215380;280;1753-01-01 00:00:00
215381;280;1753-01-01 00:00:00
216512;242;1753-01-01 00:00:00
218222;280;1753-01-01 00:00:00
219082;450;1753-01-01 00:00:00
220200;230;1753-01-01 00:00:00
220724;211;1753-01-01 00:00:00
220725;211;1753-01-01 00:00:00
220726;211;1753-01-01 00:00:00
220727;211;1753-01-01 00:00:00
220765;410;1753-01-01 00:00:00
220787;280;1753-01-01 00:00:00
223176;280;1753-01-01 00:00:00
223285;400;1753-01-01 00:00:00
