Type Code;No_;SEZ_No_;Expert_No_;Expert Date;Issue Date;End Date;Paper_No_;Cert_ Warning Code;Paper_Index;Blocked;Print Priority;Tree Group No_;KeyString;TreeLevel;Cert_Description_RUS;Cert_Description_ENU
CS;77.01.12.915.о.30474.08.5;;;1753-01-01 00:00:00.000;2005-08-29 00:00:00.000;2010-09-01 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;CHANEL
CS;77.01.12.915.о28930.12.3;;;1753-01-01 00:00:00.000;2003-12-19 00:00:00.000;2009-01-01 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;AMBER BRONZE
CS;77.01.12.960.о.059892.08.07;;;1753-01-01 00:00:00.000;2007-08-08 00:00:00.000;2012-08-03 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;CHANEL
CS;77.01.16.015.о.042957.07.09;;;1753-01-01 00:00:00.000;2009-07-09 00:00:00.000;2014-07-08 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;GUERLAIN
CS;77.01.16.590.о.080488.12.06;;;1753-01-01 00:00:00.000;2006-12-06 00:00:00.000;2011-12-05 00:00:00.000;;;;0;0;1101;AAKAAA;0;онясдю хг ярейкю х упсярюкъ;SWAROVSKI
CS;77.01.16.845.о.083367.12.06;;;1753-01-01 00:00:00.000;2006-12-14 00:00:00.000;2011-12-13 00:00:00.000;;;;0;0;1601;AAPAAA;0;окюрнвмн-ьюптнбше хгдекхъ;MANTERO
CS;77.01.16.880.о.056638.07.08;;;1753-01-01 00:00:00.000;2008-07-14 00:00:00.000;2013-07-14 00:00:00.000;;;;0;0;1601;AAPAAA;0;насбэ;CAVALLI
CS;77.01.16.883.о.056641.07.08;;;1753-01-01 00:00:00.000;2008-07-14 00:00:00.000;2013-07-14 00:00:00.000;;;;0;0;1601;AAPAAA;0;насбэ;CAVALLI
CS;77.01.16.912.о.005619.02.07;;;1753-01-01 00:00:00.000;2007-02-05 00:00:00.000;2012-02-02 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюд лнкнвмши;TIN TREATS
CS;77.01.16.912.о.058230.09.06;;;1753-01-01 00:00:00.000;2006-09-26 00:00:00.000;2011-09-25 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюдмше хгдекхъ;MASTERFOOD
CS;77.01.16.912.о.058233.09.06;;;1753-01-01 00:00:00.000;2006-09-26 00:00:00.000;2011-09-22 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюдмше йнмтерш;GUILIAN
CS;77.01.16.912.о.058234.09.06;;;1753-01-01 00:00:00.000;2006-09-26 00:00:00.000;2011-09-22 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюдмше хгдекхъ;STORCK
CS;77.01.16.912.о.058237.09.06;;;1753-01-01 00:00:00.000;2006-09-26 00:00:00.000;2011-09-22 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюд;LIR
CS;77.01.16.912.о.063209.10.06;;;1753-01-01 00:00:00.000;2006-10-12 00:00:00.000;2011-10-06 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюдмше йнмтерш;PATONS
CS;77.01.16.912.о.098493.12.07;;;1753-01-01 00:00:00.000;2007-12-20 00:00:00.000;2012-12-19 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюд;MARS
CS;77.01.16.912.о.098496.12.07;;;1753-01-01 00:00:00.000;2007-12-20 00:00:00.000;2012-12-19 00:00:00.000;;;;0;0;0601;AAFAAA;0;ьнйнкюд;MARS
CS;77.01.16.913.о.098500.12.07;;;1753-01-01 00:00:00.000;2007-12-20 00:00:00.000;2012-12-19 00:00:00.000;;;;0;0;0601;AAFAAA;0;оевемэе;MASTERFOOD
CS;77.01.16.915.о.000871.01.09;;;1753-01-01 00:00:00.000;2009-01-15 00:00:00.000;2014-01-15 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.001541.01.09;;;1753-01-01 00:00:00.000;2009-01-19 00:00:00.000;2012-01-22 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;EUROITALIA
CS;77.01.16.915.о.005644.02.09;;;1753-01-01 00:00:00.000;2009-02-04 00:00:00.000;2014-02-04 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;KENZO
CS;77.01.16.915.о.006060.02.09;;;1753-01-01 00:00:00.000;2009-02-05 00:00:00.000;2014-02-05 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.008206.02.09;;;1753-01-01 00:00:00.000;2009-02-13 00:00:00.000;2013-02-13 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.009304.02.09;;;1753-01-01 00:00:00.000;2009-02-18 00:00:00.000;2014-02-18 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.009308.02.09;;;1753-01-01 00:00:00.000;2009-02-18 00:00:00.000;2014-02-18 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.013005.02.07;;;1753-01-01 00:00:00.000;2007-02-28 00:00:00.000;2012-02-22 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;P&G
CS;77.01.16.915.о.013006.02.07;;;1753-01-01 00:00:00.000;2007-02-28 00:00:00.000;2012-02-22 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;ESCADA
CS;77.01.16.915.о.015387.03.09;;;1753-01-01 00:00:00.000;2009-03-18 00:00:00.000;2014-03-18 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.027450.05.09;;;1753-01-01 00:00:00.000;2009-05-06 00:00:00.000;2014-05-06 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;GIVENCHY
CS;77.01.16.915.о.031461.05.09;;;1753-01-01 00:00:00.000;2009-05-22 00:00:00.000;2014-05-22 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.043412.07.09;;;1753-01-01 00:00:00.000;2009-07-10 00:00:00.000;2014-07-10 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.047203.07.09;;;1753-01-01 00:00:00.000;2009-07-23 00:00:00.000;2014-07-23 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.047204.07.09;;;1753-01-01 00:00:00.000;2009-07-23 00:00:00.000;2014-07-23 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.049368.07.09;;;1753-01-01 00:00:00.000;2009-07-31 00:00:00.000;2014-07-30 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.049759.08.09;;;1753-01-01 00:00:00.000;2009-08-03 00:00:00.000;2014-08-03 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;DIOR
CS;77.01.16.915.о.050056.08.09;;;1753-01-01 00:00:00.000;2009-08-03 00:00:00.000;2014-08-03 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.050062.08.09;;;1753-01-01 00:00:00.000;2009-08-03 00:00:00.000;2014-08-03 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.050335.08.09;;;1753-01-01 00:00:00.000;2009-08-04 00:00:00.000;2014-08-04 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;LOCCITANE
CS;77.01.16.915.о.066520.08.07;;;1753-01-01 00:00:00.000;2007-08-29 00:00:00.000;2012-08-17 00:00:00.000;;;;0;0;0301;AADAAA;0;оюптчлепмн-йнялерхвеяйхе япедярбю;HERMES
