“овар Ќо.;ќписание;÷ена; ол-во;—умма в ѕрод. ÷енах;—умма —ебестоимости;price;location
500974;—ырный продукт произв.;И 0,00;0,31;И 0,00;И 80,39;259,3226;B002  Runway FRESH
500519;ћед ÷веточный;И 0,00;0,32;И 0,00;И 63,88;199,6250;B002  Runway FRESH
500770;‘иле грудки цыпленка подж.;И 0,00;0,344;И 0,00;И 109,46;318,1977;B002  Runway FRESH
500723;ѕомидоры „ерри;И 0,00;0,347;И 0,00;И 77,30;222,7666;B002  Runway FRESH
500866;Ћовенбрау кега 20л;И 0,00;0,35;И 0,00;И 53,53;152,9429;B002  Runway FRESH
500354;—ыр √ауда 48%;И 0,00;0,375;И 0,00;И 143,36;382,2933;B002  Runway FRESH
500522; етчуп “омат.Heinz 1кг(произ.);И 0,00;0,377;И 0,00;И 29,49;78,2228;B002  Runway FRESH
500704;ћаслины,ќливки б/к;И 0,00;0,39;И 0,00;И 86,05;220,6410;B002  Runway FRESH
500811; вашенна€ капуста;И 0,00;0,39;И 0,00;И 22,47;57,6154;B002  Runway FRESH
500705;ќгурцы маринованные произв.;И 0,00;0,394;И 0,00;И 42,71;108,4010;B002  Runway FRESH
500961;—ыр плавленный произв.;И 0,00;0,395;И 0,00;И 178,68;452,3544;B002  Runway FRESH
500490;—метанка 20% 400гр. произв;И 0,00;0,413;И 0,00;И 68,62;166,1501;B002  Runway FRESH
500667; артофель дольками 200гр.произ;И 0,00;0,425;И 0,00;И 45,51;107,0824;B002  Runway FRESH
500479; рылышки;И 0,00;0,48;И 0,00;И 101,69;211,8542;B002  Runway FRESH
500955; артофельное пюре Knorr;И 0,00;0,492;И 0,00;И 106,13;215,7114;B002  Runway FRESH
500781;—емга произв.;И 0,00;0,496;И 0,00;И 392,46;791,2500;B002  Runway FRESH
501022;ћолоко —гущеное 8,5% 380гр;И 0,00;0,5;И 0,00;И 60,46;120,9200;B002  Runway FRESH
500862;"¬етчина ""¬енска€""";И 0,00;0,597;И 0,00;И 174,97;293,0821;B002  Runway FRESH
500768;—ухарики-гренки пш.с солью;И 0,00;0,642;И 0,00;И 124,67;194,1900;B002  Runway FRESH
500914;“ортиль€;И 0,00;0,9;И 0,00;И 107,04;118,9333;B002  Runway FRESH
500730;ѕанини гриль;И 0,00;1;И 0,00;И 34,91;34,9100;B002  Runway FRESH
500356;јпельсины (произв.);И 0,00;1,17;И 0,00;И 83,31;71,2051;B002  Runway FRESH
500580;„ай весовой в асс.;И 0,00;1,67;И 0,00;И 2 890,43;1730,7964;B002  Runway FRESH
501019;“орт ћедовый;И 0,00;2;И 0,00;И 111,29;55,6450;B002  Runway FRESH
500430;Fresh Mandarin Juice 0,5;И 0,00;2,5;И 0,00;И 675,67;270,2680;B002  Runway FRESH
500990;Ѕелые колбаски произв.;И 0,00;3,218;И 0,00;И 1 009,29;313,6389;B002  Runway FRESH
550440;јссорти Ќовое 450г;И 0,00;4;И 0,00;И 514,52;128,6300;B002  Runway FRESH
500143;»кра  расна€ 25г;И 0,00;7;И 0,00;И 456,81;65,2586;B002  Runway FRESH
500867;Ћовенбраун ƒункель 20л;И 0,00;8,7;И 0,00;И 1 481,57;170,2954;B002  Runway FRESH
500938;Ѕлинчики с м€сом 85гр.произв.;И 0,00;9;И 0,00;И 80,56;8,9511;B002  Runway FRESH
500035;Fresh Mandarin Juice 0,3;И 0,00;9,45;И 0,00;И 2 387,27;252,6212;B002  Runway FRESH
500026; офе Ёспрессо √олд 1кг;И 0,00;10,953;И 0,00;И 8 263,78;754,4764;B002  Runway FRESH
500993;ѕиво Ѕудвайзер тЄмное 0,33;И 0,00;12;И 0,00;И 1 175,17;97,9308;B002  Runway FRESH
500000;√иннесс 30Ћ;И 0,00;14,72;И 0,00;И 3 804,74;258,4742;B002  Runway FRESH
501070; октейль ореховый в асс;И 0,00;15;И 0,00;И 644,24;42,9493;B002  Runway FRESH
500162;’леб;И 0,00;17;И 0,00;И 95,90;5,6412;B002  Runway FRESH
500657; олбаски в асс.;И 0,00;17,1;И 0,00;И 5 397,52;315,6444;B002  Runway FRESH
500870;—идр Magners Orijinal Irish 30;И 0,00;24;И 0,00;И 5 985,73;249,4054;B002  Runway FRESH
500666;ћороженое BR(стакан.) 100мл;И 0,00;25;И 0,00;И 1 679,97;67,1988;B002  Runway FRESH
501017;—идр Magners грушевый 0,33ml;И 0,00;40;И 0,00;И 3 590,82;89,7705;B002  Runway FRESH
550012;ѕ»¬ќ HARP –ј«Ћ»¬Ќќ≈ 30Ћ;И 0,00;41,68384;И 0,00;И 11 673,59;280,0507;B002  Runway FRESH
550008;ѕ»¬ќ CAFFREY'S –ј«Ћ. ега 30;И 0,00;41,88;И 0,00;И 11 148,47;266,2003;B002  Runway FRESH
501071; ешью;И 0,00;44;И 0,00;И 67 693,84;1538,4964;B002  Runway FRESH
550000;ѕ»¬ќ ERDEINGER –ј«Ћ.  ≈√ј 30;И 0,00;44,07;И 0,00;И 10 859,59;246,4168;B002  Runway FRESH
550007;ѕ»¬ќ BUDWEISER –ј«Ћ. ега 30;И 0,00;48,62;И 0,00;И 10 757,72;221,2612;B002  Runway FRESH
501014;"	¬ода ѕерье 0,5л";И 0,00;54;И 0,00;И 3 104,00;57,4815;B002  Runway FRESH
501016;ѕиво Estrella Damm 0,33ml;И 0,00;61;И 0,00;И 4 334,34;71,0548;B002  Runway FRESH
500144;ћолоко 1л;И 0,00;76,63;И 0,00;И 3 065,09;39,9986;B002  Runway FRESH
500266;„ипсы Ћейз в ассортим.;И 0,00;77;И 0,00;И 2 221,32;28,8483;B002  Runway FRESH
500277;‘исташки Shapo 40х40г;И 0,00;83;И 0,00;И 4 662,17;56,1707;B002  Runway FRESH
500659;јрахис «олотой сад 40х40г;И 0,00;144;И 0,00;И 1 977,10;13,7299;B002  Runway FRESH
500869;’амовники 20л;И 0,00;160;И 0,00;И 16 585,28;103,6580;WH001  Warehouse FRESH Bar
500870;—идр Magners Orijinal Irish 30;И 0,00;180;И 0,00;И 47 198,19;262,2122;WH001  Warehouse FRESH Bar
550008;ѕ»¬ќ CAFFREY'S –ј«Ћ. ега 30;И 0,00;210;И 0,00;И 55 902,27;266,2013;WH001  Warehouse FRESH Bar
550000;ѕ»¬ќ ERDEINGER –ј«Ћ.  ≈√ј 30;И 0,00;240;И 0,00;И 55 599,36;231,6640;WH001  Warehouse FRESH Bar
550007;ѕ»¬ќ BUDWEISER –ј«Ћ. ега 30;И 0,00;390;И 0,00;И 86 291,59;221,2605;WH001  Warehouse FRESH Bar
550012;ѕ»¬ќ HARP –ј«Ћ»¬Ќќ≈ 30Ћ;И 0,00;540;И 0,00;И 151 227,12;280,0502;WH001  Warehouse FRESH Bar
500000;√иннесс 30Ћ;И 0,00;660;И 0,00;И 170 593,45;258,4749;WH001  Warehouse FRESH Bar
»того по  B002;;;-4759,27676;И 0,00;И 157 901,77;-33,1777;
»того по  WH001;;;2380;И 0,00;И 583 397,26;245,1249;
»того;;;8388,4855;И 0,00;И 4 099 780,84;488,7391;
»того по  B001;;;10767,76226;И 0,00;И 3 358 481,81;311,9016;
B001  Shannon's Irish Bar;;;;;;;
B002  Runway FRESH;;;;;;#ƒ≈Ћ/0!;
WH001  Warehouse FRESH Bar;;;;;;#ƒ≈Ћ/0!;
;;;;;;#ƒ≈Ћ/0!;
