No_;Item No_;Unit of Measure Code;Descript;Descript2;Quantity per UoM;No_ Series;Item Department Code;Item Group Code;Item Tree Group No_;Gross Sales Amount
D00639;751767;ПОРЦИЯ 0,5;Эдельвейс;;0.55000000000000000000;DISH;99;9901;9901012;0.00000000000000000000
D00640;751768;ШТ;Апельсин стекло 0,20;;1.00000000000000000000;DISH;99;9902;9902002;0.00000000000000000000
D00641;751769;ШТ;Яблоко стекло  0,20;;1.00000000000000000000;DISH;99;9902;9902002;0.00000000000000000000
D00644;751771;ПОРЦИЯ;Baileys MINT;;0.05000000000000000000;DISH;99;9901;9901009;0.00000000000000000000
D00645;751772;ШТ;Черная Смородина 0,20;;1.00000000000000000000;DISH;99;9902;9902002;0.00000000000000000000
D00646;751770;ШТ;Феррарелле 0,5;;1.00000000000000000000;DISH;99;9902;9902004;0.00000000000000000000
D00647;201045;SGL;VEUVE CLIQUOT BRUT 0.2L;;1.00000000000000000000;DISH;01;0108;0108029;0.00000000000000000000
D00648;212560;SGL;MOET & CHAND. BRUT 0.2L;;1.00000000000000000000;DISH;01;0108;0108029;0.00000000000000000000
D00649;751767;ПОРЦИЯ 0,3;Эдельвейс 0,3;;0.35000000000000000000;DISH;99;9901;9901012;0.00000000000000000000
D00650;751776;SGL;Эдельвейс бут 0,5л;;1.00000000000000000000;DISH;99;9901;9901012;0.00000000000000000000
D00651;751682;ШТ;Хлеб зерновой;;1.00000000000000000000;DISH;99;9904;9904011;0.00000000000000000000
D00652;751683;ШТ;Хлеб Виктория;;1.00000000000000000000;DISH;99;9904;9904011;0.00000000000000000000
D00653;751779;SGL;Heineken 0,33 ж/б;;1.00000000000000000000;DISH;99;9901;9901012;0.00000000000000000000
D00654;751780;ШТ;Морковный пирог;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00655;751881;ШТ;Печенье Конголез;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00656;751882;ШТ;Маффин черничный;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
D00657;751781;SGL;Арахис с медом Felix;;1.00000000000000000000;DISH;99;9904;9904010;0.00000000000000000000
D00658;751778;SGL;Лейз с солью;;1.00000000000000000000;DISH;99;9904;9904010;0.00000000000000000000
D00659;751782;ШТ;Benson & Hedges;;1.00000000000000000000;DISH;99;9905;9905001;0.00000000000000000000
D00660;751783;ШТ;Кешью;;1.00000000000000000000;DISH;99;9904;9904010;0.00000000000000000000
D00661;751500;ШТ;Арахис;;1.00000000000000000000;DISH;99;9904;9904010;0.00000000000000000000
D00662;751784;ПОРЦ 0,05;Black Bush 1L;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00663;751786;ШТ;Mild Seven Light 200;;1.00000000000000000000;DISH;99;9905;9905001;0.00000000000000000000
D00664;751785;ШТ;Кофе Чалды Эспрессо 7г;;1.00000000000000000000;DISH;99;9903;9903010;0.00000000000000000000
D00665;751787;ПОРЦИЯ;Glenfiddich 21 Y.0.;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00666;751788;ПОРЦИЯ;Macallan Elegancia 12 Y.O. 1L;;0.05000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00667;751789;ШТ;Орехи фисташки 100гр ж/бан;;1.00000000000000000000;DISH;99;9904;9904010;0.00000000000000000000
D00668;751790;ШТ;Аква Актив Лимон 0,6х12;;1.00000000000000000000;DISH;99;9902;9902004;0.00000000000000000000
D00669;751791;ШТ;Bud бут. 0,33;;1.00000000000000000000;DISH;99;9901;9901012;0.00000000000000000000
D00670;751792;ШТ;Морс Ягодный 0,25;;1.00000000000000000000;DISH;99;9902;9902002;0.00000000000000000000
D00671;751793;ПОРЦИЯ;Bombay Sapphire 1L;;0.05000000000000000000;DISH;99;9901;9901006;0.00000000000000000000
D00672;751794;ШТ;Cafe creme;;1.00000000000000000000;DISH;99;9905;9905001;0.00000000000000000000
D00673;751025;ПОРЦИЯ 0,1;JAMESSON 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00674;751738;ПОРЦИЯ 0,1;Jameson 12y.o. 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00675;751689;ПОРЦИЯ 0,1;Jamesson 18YO 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00676;751027;ПОРЦИЯ 0,1;TULLAMORE DEW 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00677;751303;ПОРЦИЯ 0,1;Bushmill's 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00678;751784;ПОРЦИЯ 0,1;Black Bush 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00679;751692;ПОРЦИЯ 0,1;Middleton 100ml;;0.10000000000000000000;DISH;99;9901;9901004;0.00000000000000000000
D00680;751057;ПОРЦИЯ 0,1;BAILEYS 100ml;;0.10000000000000000000;DISH;99;9901;9901009;0.00000000000000000000
D00681;751795;ПОРЦИЯ;Caberne Sovignon;;0.15000000000000000000;DISH;99;9901;9901008;0.00000000000000000000
D00682;751796;ПОРЦИЯ;Shardone Varietal;;0.15000000000000000000;DISH;99;9901;9901008;0.00000000000000000000
D00683;751797;ШТ;Круассан 50гр;;1.00000000000000000000;DISH;99;9904;9904008;0.00000000000000000000
