No_;Item No_;Unit of Measure Code;Descript;Descript2;Quantity per UoM;No_ Series;Item Department Code;Item Group Code;Item Tree Group No_;Gross Sales Amount
D00817;500164;ПОРЦИЯ;Чай с бергамотом;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00818;500165;ПОРЦИЯ;Чай зеленый;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00819;500166;ПОРЦИЯ;Чай Жасмин;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00820;500167;ПОРЦИЯ;Шардоне;;0.15000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00821;500168;ПОРЦИЯ;Каберне;;0.15000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00822;500169;ПОРЦИЯ;Bacardi black;;0.05000000000000000000;DISH;97;9701;9701003;0.00000000000000000000
D00823;500170;ПОРЦИЯ;Bacardi;;0.05000000000000000000;DISH;97;9701;9701003;0.00000000000000000000
D00824;500171;ПОРЦИЯ;Jack Daniel's;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00825;500172;ПОРЦИЯ;Dewar's white label;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00826;500173;ПОРЦИЯ;Dewar's 18y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00827;500174;ПОРЦИЯ;Martini Bianco;;0.05000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00828;500175;ПОРЦИЯ;Martini Rose;;0.05000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00829;500176;ПОРЦИЯ;Martini Rosso;;0.05000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00830;500177;ПОРЦИЯ;Martini Dry;;0.05000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00831;500179;ПОРЦИЯ;Finlandia;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00832;500180;ПОРЦИЯ;Finlandia Grapfruit;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00833;500178;SGL;Asti Martini 0,2;;1.00000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00834;500181;ПОРЦИЯ;Finlandia Cranberry;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00835;500191;ПОРЦИЯ;Jameson;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00836;500192;ПОРЦИЯ;Chivas Regal 12y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00837;500193;ПОРЦИЯ;Chivas Regal 18y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00838;500184;ПОРЦИЯ;Русский стандарт;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00839;500186;ПОРЦИЯ;Jagermeister;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00840;500195;ПОРЦИЯ;Baileys;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00841;500187;ПОРЦИЯ;Remy Martin ХО;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00842;500188;ПОРЦИЯ;Remy Martin VSOP;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00843;500189;ПОРЦИЯ;Hennessy XO;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00844;500190;ПОРЦИЯ;Hennessy VSOP;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00845;500194;ПОРЦИЯ;Olmeca silver;;0.05000000000000000000;DISH;97;9701;9701010;0.00000000000000000000
D00846;500196;ПОРЦИЯ;Red Label;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00847;500197;ПОРЦИЯ;Black Label;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00848;500198;ПОРЦИЯ;Gordons;;0.05000000000000000000;DISH;97;9701;9701009;0.00000000000000000000
D00850;500070;ПОРЦИЯ;Бейлиз кофе;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00851;500074;ПОРЦИЯ;Ирландский кофе;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00852;500076;ПОРЦИЯ;Глинтвейн;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00853;500185;ПОРЦИЯ;Campari;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00854;500059;ПОРЦИЯ;Чай Ассам пакет;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00855;500060;ПОРЦИЯ;Чай Эрл Грей пакет;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00856;500061;ПОРЦИЯ;Чай зеленый пакет;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00857;500062;ПОРЦИЯ;Чай Жасмин пакет;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00858;500064;ПОРЦИЯ;Чай фруктовый пакет;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00859;500122;КГ;Апельсины;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00860;500123;КГ;Лимоны;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00861;500124;КГ;Яблоки;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00862;500125;КГ;Груши;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00863;500126;КГ;Ананасы;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00864;500127;КГ;Грейпфрут;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00865;500128;КГ;Бананы;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00866;500130;КГ;Мандарины;;1.00000000000000000000;DISH;97;9704;9704007;0.00000000000000000000
D00867;500015;SGL;Морс клюквенный 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00868;500018;SGL;Яблочный сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00869;500019;SGL;Томатный сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00870;500020;SGL;Вишневый сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00871;500021;SGL;Грейпфрутовый сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00872;500017;SGL;Ананасовый сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00873;500199;ПОРЦИЯ 0,5;Крушовице светл 0,5;;0.55000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00875;500199;ПОРЦИЯ 0,3;Крушовице cветл 0,3;;33.00000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00877;500200;ПОРЦИЯ 0,5;Крушовице темн 0,5;;0.55000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00878;500200;ПОРЦИЯ 0,3;Крушовице темн 0,3;;0.30000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00879;500002;ПОРЦИЯ 0,3;Хейнекен 0,3;;0.32000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00880;500016;SGL;Апельсиновый сок 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00881;500144;Л;Молоко 3,5%;;1.00000000000000000000;DISH;97;9704;9704010;0.00000000000000000000
D00882;500201;SGL;Селедка по-русски;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00883;500202;SGL;Винегрет;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00884;500211;SGL;Зажигалка;;1.00000000000000000000;DISH;97;9705;9705002;0.00000000000000000000
D00885;500227;SGL;Жевательная резинка;;1.00000000000000000000;DISH;97;9705;9705002;0.00000000000000000000
D00886;500228;SGL;Леденцы;;1.00000000000000000000;DISH;97;9705;9705002;0.00000000000000000000
D00887;500229;SGL;Фисташки 100гр.ж/б;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00888;500209;SGL;Шардоне 0,187;;1.00000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00889;500210;SGL;Каберне Савиньон 0,187;;1.00000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00890;500203;SGL;Jack Daniel's 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00891;500204;SGL;Grants 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00892;500206;SGL;Мед с перцем 0,1л;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00893;500207;SGL;Немирофф Особая 0,1л;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00894;500208;SGL;Берез.особая 0,1л;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00895;500205;ПОРЦИЯ;Hennessy VS;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00896;500234;SGL;Набор Kent Silver;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00897;500235;SGL;Набор Vogue Bleu;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00898;500236;SGL;Набор Vogue Menthe;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00899;500241;SGL;Набор Marlboro red;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00900;500242;SGL;Набор Marlboro lights;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00901;500243;SGL;Набор Parliament;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00902;500244;SGL;Набор  Parliament lights;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00903;500073;ПОРЦИЯ;Французский кофе;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00904;500245;ПОРЦИЯ;Грог;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00905;500246;ПОРЦИЯ;Глинтвейн на травах;;1.00000000000000000000;DISH;97;9703;9703004;0.00000000000000000000
D00906;500247;SGL;Русский Стандарт 0,05л;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00907;500248;SGL;Реми Мартан VSOP 0,05л;;1.00000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00908;500252;SGL;Орбит Аква с жидким наполнит.;;1.00000000000000000000;DISH;97;9706;9706001;0.00000000000000000000
D00909;500255;SGL;Набор Kent Nanotek Infina;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00910;500256;SGL;Набор Kent Nanotek Neo;;1.00000000000000000000;DISH;97;9705;9705001;0.00000000000000000000
D00911;500258;SGL;Баллантайнс 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00912;500260;SGL;Сок Троп.Апельсин 1л(new);;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00913;500261;SGL;Сок Троп.Яблоко 1л(new);;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00914;500263;SGL;Сок Троп.Ананас 1л(new);;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00915;500259;SGL;Сок Троп.Грейпфрут 1л (new);;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00916;500564;SGL;Famous Grouse 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00917;500266;SGL;Чипсы Лейз 85г;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00918;500262;SGL;Сок Троп.Томат 1л (new);;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00919;500267;SGL;Липтон Гранат 0,6;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00920;500268;SGL;Adrenalin Life 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00922;500269;SGL;Мартини Бьянко 0,05л;;1.00000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00923;500270;SGL;Мартини Драй 0,05л;;1.00000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00924;500143;SGL;Икра красная 25г;;1.00000000000000000000;DISH;97;9704;9704009;0.00000000000000000000
D00926;500271;SGL;Дюарс Спешиал 12лет 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00929;500278;SGL;Бакарди светл 0,05;;1.00000000000000000000;DISH;97;9701;9701003;0.00000000000000000000
D00930;500281;SGL;Black Label 0,05;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00931;500279;SGL;Бомбей Сапфир 0,05;;1.00000000000000000000;DISH;97;9701;9701009;0.00000000000000000000
D00932;500280;SGL;Отард VSOP 0,05;;1.00000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00935;500277;SGL;Фисташки 40гр;;1.00000000000000000000;DISH;97;9704;9704008;0.00000000000000000000
D00936;500002;ПОРЦ 0,25;Хейнекен 0,25;;0.26000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D00939;500307;SGL;Чивас Ригал 0,05;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00940;500300;SGL;Moet&Chandon 0,375;;1.00000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00941;500301;ПОРЦИЯ;Портвейн красный;;0.05000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00942;500302;ПОРЦИЯ;Портвейн белый;;0.05000000000000000000;DISH;97;9701;9701002;0.00000000000000000000
D00943;500284;ПОРЦИЯ;Bacardi 8y.o.;;0.05000000000000000000;DISH;97;9701;9701003;0.00000000000000000000
D00944;500286;ПОРЦИЯ;Dewars 12лет;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00945;500289;ПОРЦИЯ;Macallan 21 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00946;500290;ПОРЦИЯ;Macallan 15 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00947;500291;ПОРЦИЯ;Macallan 12 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00948;500296;ПОРЦИЯ;Tullamore Dew;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00949;500304;ПОРЦИЯ;Laphroaig 10 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00950;500305;ПОРЦИЯ;Bushmill's 10 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00951;500306;ПОРЦИЯ;Black Bush;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00952;500308;ПОРЦИЯ;Jameson Gold;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00953;500309;ПОРЦИЯ;Jameson 18 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00954;500312;ПОРЦИЯ;Glenlivet 12 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00955;500313;ПОРЦИЯ;Ballantines;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00956;500317;ПОРЦИЯ;Glenfiddich 12 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00957;500318;ПОРЦИЯ;Jameson 12 y.o.;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00958;500287;ПОРЦИЯ;Белуга;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00959;500288;ПОРЦИЯ;Белуга Золотая;;0.05000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D00960;500295;ПОРЦИЯ;Куантро;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00961;500303;ПОРЦИЯ;Самбука;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00962;500311;ПОРЦИЯ;Калуа;;0.05000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D00963;500297;ПОРЦИЯ;Реми Мартан VS;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00964;500298;ПОРЦИЯ;Граппа Барберо;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00965;500299;ПОРЦИЯ;Кальвадос VSOP;;0.05000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00966;500285;ПОРЦИЯ;Бомбей Сапфир;;0.05000000000000000000;DISH;97;9701;9701009;0.00000000000000000000
D00967;500310;ПОРЦИЯ;Бифитер;;0.05000000000000000000;DISH;97;9701;9701009;0.00000000000000000000
D00968;500292;ПОРЦИЯ;Сауза Бланко;;0.05000000000000000000;DISH;97;9701;9701010;0.00000000000000000000
D00969;500293;ПОРЦИЯ;Сауза Голд;;0.05000000000000000000;DISH;97;9701;9701010;0.00000000000000000000
D00970;500294;ПОРЦИЯ;Сауза Хорнитос;;0.05000000000000000000;DISH;97;9701;9701010;0.00000000000000000000
D00971;500259;ПОРЦИЯ 0,2;Сок Грейпфрут;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00972;500260;ПОРЦИЯ 0,2;Сок Апельсин;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00973;500261;ПОРЦИЯ 0,2;Сок Яблоко;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00974;500262;ПОРЦИЯ 0,2;Сок Томат;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00975;500263;ПОРЦИЯ 0,2;Сок Ананас;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D00978;500320;SGL;Салат мясной с грибами;;1.00000000000000000000;DISH;97;9704;9704004;0.00000000000000000000
D00980;500324;SGL;Пангасиус запеченый;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00981;500322;SGL;Гуляш из говядины;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00983;500323;SGL;Жаркое по-домашнему;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00984;500325;SGL;Рис-пилав;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D00986;500321;SGL;Суп-гуляш;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00987;500153;SGL;Суп пюре из спаржи;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D00989;500067;ПОРЦИЯ;Чай Баварская мята;;1.00000000000000000000;DISH;97;9703;9703001;0.00000000000000000000
D00990;500329;SGL;Мартини Россо 0,05;;1.00000000000000000000;DISH;97;9701;9701005;0.00000000000000000000
D00991;500333;SGL;Мартель 0,05;;1.00000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D00992;500332;SGL;Джемесон 0,05;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00993;500334;SGL;Рэд булл 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00994;500335;SGL;Рэд булл Кола 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D00996;500336;ПОРЦИЯ;Клонтарф;;0.05000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D00997;500342;SGL;Круассан классический;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00998;500343;SGL;Круассан с миндалем;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D00999;500344;SGL;Даниш с фруктами;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01000;500337;ПОРЦИЯ;Торт Черничный;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01001;500338;ПОРЦИЯ;Торт Грушевый;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01002;500339;ПОРЦИЯ;Торт Яблочный;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01003;500345;ПОРЦИЯ;Торт Чизкейк;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01004;500347;SGL;Чиз кейк пирожное;;1.00000000000000000000;DISH;97;9704;9704006;0.00000000000000000000
D01005;500348;SGL;Амаретто 0,05л;;1.00000000000000000000;DISH;97;9701;9701007;0.00000000000000000000
D01006;500351;ПОРЦИЯ 0,5;Златый Базант 0,5л;;0.52000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D01007;500351;ПОРЦИЯ 0,3;Златый Базант 0,3л;;0.32000000000000000000;DISH;97;9701;9701001;0.00000000000000000000
D01008;500355;ПОРЦИЯ;Круассан с сыром;;1.00000000000000000000;DISH;97;9704;9704005;0.00000000000000000000
D01009;500371;ПОРЦИЯ;"Ягодный";;0.20000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01010;500370;SGL;Морс Клюквенный;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01011;500372;SGL;Тоник ШВП 0.25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01012;500373;SGL;К-Кола 0.25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01013;500375;SGL;Фанта 0.25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01014;500376;SGL;Спрайт 0.25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01015;500377;SGL;Вальсер 0.33;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01016;500378;SGL;Вальсер газ 0.33;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01017;500379;SGL;РИЧ Апельсин 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01018;500380;SGL;РИЧ Яблоко 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01019;500381;SGL;РИЧ Персик 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01020;500382;SGL;РИЧ Вишня 0,25;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01021;500383;ПОРЦИЯ 0,2;РИЧ Томат;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01023;500374;SGL;К-Кола Лайт 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01024;500384;SGL;Нести Лимон 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01025;500385;SGL;Нести Ягоды 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01026;500386;SGL;Зелёный чай 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01027;500387;SGL;Белый чай 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01028;500388;SGL;Красный чай 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01029;500389;SGL;К-Кола 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01030;500390;SGL;Кола-Лайт 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01031;500391;SGL;Фанта 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01032;500392;SGL;Спрайт 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01033;500393;SGL;Бонаква газ. 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01034;500394;SGL;Бонаква без газа 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01035;500395;SGL;Аква Лимон 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01036;500396;SGL;Тоник 0,5;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01037;500397;SGL;Биттер Лимон 0,5Л;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
D01038;500399;SGL;РИЧ Апельсин 0,2;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01039;500400;SGL;Рич Яблоко 0,2;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01040;500401;SGL;Рич Персик 0,2;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01041;500402;SGL;Рич Томат 0,2;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01042;500403;ПОРЦИЯ;Капуччино/круассан;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D01043;500404;ПОРЦИЯ;Двойной капуччино;;1.00000000000000000000;DISH;97;9703;9703002;0.00000000000000000000
D01044;500405;SGL;РИЧ Апельсин 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01045;500406;SGL;РИЧ Грейпфрут 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01046;500407;SGL;РИЧ Яблоко 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01047;500410;SGL;Курвуазье VSOP 0,05л;;1.00000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D01048;500411;SGL;Курвуазье VS 0,05л;;1.00000000000000000000;DISH;97;9701;9701008;0.00000000000000000000
D01049;500409;SGL;Макаллан 12л 0,05л;;1.00000000000000000000;DISH;97;9701;9701004;0.00000000000000000000
D01050;500408;SGL;Белуга 0,05л;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D01052;500413;SGL;Стакан 200мл;;1.00000000000000000000;DISH;97;9703;9703005;0.00000000000000000000
D01053;500412;SGL;Рич Ананас 0,2;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01054;500383;SGL;РИЧ Томат 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01055;500419;SGL;Рич ВИШНЯ 1л;;1.00000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01056;500407;ПОРЦ 0,02;РИЧ Яблоко;;0.20000000000000000000;DISH;97;9702;9702002;0.00000000000000000000
D01057;500420;ПОРЦИЯ;Red Bull Vodka;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D01059;500423;ПОРЦИЯ 0,3;Fresh Orange Juice 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01060;500424;ПОРЦИЯ 0,5;Fresh Orange Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01061;500425;ПОРЦИЯ 0,5;Fresh Apple Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01062;500426;ПОРЦИЯ 0,5;Fresh Pineapple Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01063;500427;ПОРЦИЯ 0,3;Fresh Grape-fruit Juice 0,3;;0.30000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01064;500428;ПОРЦИЯ 0,5;Fresh Grape-fruit Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01065;500429;ПОРЦИЯ 0,5;Fresh Pear Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01066;500430;ПОРЦИЯ 0,5;Fresh Mandarin Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01067;500431;ПОРЦИЯ 0,5;Fresh Carrot Juice 0,5;;0.50000000000000000000;DISH;97;9702;9702003;0.00000000000000000000
D01070;500433;ПОРЦИЯ;Зелёный Остров;;1.00000000000000000000;DISH;97;9701;9701006;0.00000000000000000000
D01071;500092;SGL;Стейк из лосося;;1.00000000000000000000;DISH;97;9704;9704001;0.00000000000000000000
D01072;500435;SGL;Суп пюре из шпината;;1.00000000000000000000;DISH;97;9704;9704012;0.00000000000000000000
D01073;500436;SGL;Бонаква газ. 0,25;;1.00000000000000000000;DISH;97;9702;9702004;0.00000000000000000000
