DP_SUP_ID;DF_USD_ID;DF_SUP_ID;SUP_NAME
;10907563;10907563;H22222 HASLACH GMBH
15904373;;;H44525 ŒŒŒ ’ÓÂÍ‡ “ÂÈ‰—Â‚ËÒ
15904373;;;H44525 ’Œ–≈ ¿ “–≈…ƒ—≈–¬»— ŒŒŒ                                                                       
;10907564;10907564;H45812 HAMMER+SOHNE
;10907363;10907363;H50050 T.HILFIGER E.LAUDER
16223555;;;H66500 HIBWAY
16223555;45124563;45124563;H66500 Hibway Ltd. t/a Saffon Supply Services
;15218200;15218200;H99999 ED HARDY
15481552;;;HD98765 HANSE DISTRIBUTION GmbH
16223268;45124194;45124194;HIBWAY LTD
15357863;;;HK11111 HELLO KITTY –Ë¯ÂÒ
16064641;;;I_SUP12 MONTALE ¡¿À“» ŒÃ
;45125754;;I_SUP417 ŒŒŒ Ã»– »√–”ÿ≈                                                                             
16223964;45126550;;I_SUP441 Õ¿«¿ƒ   »—“Œ ¿Ã                                                                            
10902939;;;I00001 AGROS-EKO
10902941;;;I00003 COSMOPOLITAN COSMETICS
15862053;39846327;39846327;I00022 »Ãœ≈–»¿À ŒŒŒ                                                                                 
;10907364;10907364;I10011 IBB
;10907505;10907505;I10050 IBB UK
;10907397;10907397;I10099 IRAKLIS KALLISTHENIS
;10907309;10907309;I10111 ARTIS ORBIC - IRISH D
;10907506;10907506;I11112 ISA SPA
;10907506;10907506;I11112 ISA SpA
14875506;;;I13567 ICEBERG - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
10915168;;;I22222 ISA SPA DP RBN
;12608284;12608284;I23456 ISF INTERNATIONAL SPIRITUS FORUM GMBH
16223195;;;I33333 INTEL MSK
;10907310;10907310;I42782 IRISH DRESDEN
15103684;;;I44444 ICE WATCH
16152907;;;I54333 F.BOCIET INTERLUX
16152907;44185425;44185425;I54333 F.BOCLET Interlux
12584095;;;I54444 »Õ“≈À “–≈…ƒ “                                                                                
12584095;;;I54444 “  »Õ“≈À “–≈…ƒ
;32456993;32456993;I55588 IAN MACLEOD DISTILLERS LTD
16222786;;;I65432 ALYSON OLDOINI INTERLUX
16222786;45123572;45123572;I65432 ALYSON OLDOINI. Interlux
16152906;44185424;44185424;I75666 KORLOFF INTERLUX
;42520715;42520715;I98765 SILLAGE INTERLUX
15948027;;;I98765 SILLAGE INTERLUX
15948027;42520715;42520715;I98765 SILLAGE Interlux
;22584136;22584136;IFD001 IFD LIMITED
15962875;42548796;42548796;IL98765 CARON »œ »Î¸ËÌ‡
16164160;44513352;44513352;IL98766 HISTOIRES DE PARFUMES »œ »Î¸ËÌ‡
16164158;44513353;44513353;IL98767 HOUBIGANT »œ »Î¸ËÌ‡
16164156;44513354;44513354;IL98768 MEMO »œ »Î¸ËÌ‡
16164157;44513355;44513355;IL98769 PRUDENCE »œ »Î¸ËÌ‡
16222663;;;IMPORT
;44185423;44185423;INTERLUX
16152905;;;INTERLUX
;45125269;45125269;INTERLUX 2
16223617;;;INTERLUX 2
16223791;45125722;;INTER-PERFUMS                                                                                       
;10907207;10907207;IRISHBAR
10971587;;;IRISHBAR DP
16223847;;;ISUP156 ƒ€ÃŒ¬— Œ≈  ŒÀ¡¿—ÕŒ≈ œ–Œ»«¬Œƒ—“¬Œ ŒŒŒ                                                        
16223632;45125301;45125301;ISUP402 ŒŒŒ œÓÍÓ‚ÒÍËÈ ÔˇÌËÍ
;45125927;;ISUP419 » –¿.–” ‘”ƒ—≈–¬»— ŒŒŒ                                                                       
16223893;;;ISUP431 ŒŒŒ “Œ–√Œ¬€… ƒŒÃ –”—ƒ≈À                                                                     
16223949;45126485;;ISUP439 ÕŒ¬€≈ “≈’ÕŒÀŒ√»» ŒŒŒ                                                                        
13672184;;;J00001 JANEKE
;42793944;42793944;J00007 JAMES BOND P&G
;10907311;10907311;J10027 JACOBS SUCHARD DM ACC
;10907398;10907398;J10029 JANNEAU
;43914265;43914265;J10142 JAGERMEISTER
15439137;;;J11154 JUICY COUTURE - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;23738398;23738398;J12345 JUPITER OOO
;10907208;10907208;J20060 JULES DESTROOPER
15971592;;;J20060 JULES DESTROOPER
15971592;10907208;10907208;J20060 JULES DESTROOPER
;27146387;27146387;J22345 JUILETTE HAS A GUN ESTERK
16223208;;;J22345 JUILETTE HAS A GUN ESTERK
;10923361;10923361;J33456 JSL SPEDITION GMBH
;10923361;10923361;J33456 JSL SPEDITION GmBH
;23830921;23830921;J44411 JOHN VARVATOS ESTERK
;24722453;24722453;J52222 JANEKE
;10907565;10907565;J78321 JAPAN TOBACCO INT CO
;10907565;10907565;J78321 JAPAN TOBACCO INT Co
;45125361;45125361;J88833 JOSE CUERVO
15861659;;;J99998 KRAFT JAKOBS SUCHARD
;10907312;10907312;J99998 MONDELEZ WORLD TRAVEL RETAIL LLC
15861659;10907312;10907312;J99998 MONDELEZ WORLD TRAVEL RETAIL LLC
15601393;;;J99999 JSL TRADING AG
15601393;28840119;28840119;J99999 JSL TRADING AG
15582039;;;JB00700 JAMES BOND ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;33687151;33687151;JF12345 JACQUES FAREL
;33274098;33274098;JFM PREMIUM PRODUCTS SARL
;10907366;10907366;JK34211 JACQUES LEMAN WATCHES
;36594517;36594517;JL11115 JUDITH LEIBER Esterk
15098136;;;JL22222 JACQUES LEMANS
14030217;;;JR12345 JOHN RICHMOND
10902943;;;JR1405 DESIGN GO
;36919351;36919351;JSL SPEDITION
;36919351;36919351;JSL SPEDITION
14323944;28421445;28421445;JSL TRADING
;33274118;33274118;JV55555 JFM VICTORINOX
;22575125;22575125;K KARL LAGERFELD
;10923930;10923930;K00001 KOALA WINES
10902944;;;K00001  –¿—Õ€… Œ “ﬂ¡–‹
;10907399;10907399;K00002 TRAFALGAR FOODS
10902946;;;K00009 KENZO JEW DP EURO
11852187;;;K0001 KENZO SILVER
10902947;;;K01110 HERMITAGE SKY
10902948;;;K02000 KONDI-2000 OOO
;19155871;19155871;K10000 KASKAD OOO
10902949;;;K10001 HERMITAGE EURO
;10907313;10907313;K10028 KENZO PARFUMS
15768570;10907313;10907313;K10028 KENZO PARFUMS
;10907263;10907263;K10029 KENZO SKY
;10907314;10907314;K10030 KAZUMIAN BELGIUM BVBA
;10907314;10907314;K10030 KAZUMIAN BELGIUM bvba
;10907458;10907458;K10047 KASMET SHASTYE
;10907315;10907315;K11011 KOLBER WATCHES
10902951;;;K11111  ¿«”ÃﬂÕ
;10907400;10907400;K12345 KENZO JEW SKY
15892709;;;K127566  « Œ“–¿ƒÕŒ≈ Œ¿Œ                                                                             
15892709;;;K127566 Œ¿Œ  « Œ“–¿ƒÕŒ≈
15892709;;;K127566 Œ¿Œ  « Œ“–¿ƒÕŒ≈
;10924091;10924091;K15300 KONZERN GROUP SOYUZ
;10907209;10907209;K15300+ KONZERN GROUP SOYUZ
;45125117;45125117;K15973 KEIKO MECHERI INTERLUX
16223539;;;K15973 KEIKO MECHERI INTERLUX
;10907264;10907264;K20020 WHYTE & MACKAY
;10907567;10907567;K20330 KAVALLARIS A LTD
16223484;;;K22233 OOO  –”“ŒÕ
16223484;;;K22233 OOO  –”“ŒÕ
16223484;;;K22233  –”“ŒÕ ŒŒŒ                                                                                   
;21740298;21740298;K23456 N.R.G. KOLOS CORPORATION OOO
15768570;;;K28000 KENZO PARF DP
15233568;;;K30013 KIMMI –Ë¯˝Ò
;23815605;23815605;K33355 KORONA OOO
;22573305;22573305;K34567 K KARL LAGERFELD
;21946809;21946809;K35818 KAMCHADAL ZAO
10902952;;;K44455 KOLBER WATCHES
;10907367;10907367;K50050 KONSTANTINOPOLSKAYA
;10907367;10907367;K50050 KONSTANTINOPOLSKAYA
;26182997;26182997;K54321 KIEHL'S PBI
16222221;;;K55543 K & K
;24141551;24141551;K55543 K&K
;45123748;45123748;K55545 KILIAN ESTERK
16222847;;;K55545 KILIAN ESTERK
15481433;;;K555544 KEEL TOYS
;10907401;10907401;K55555 KIPLING EUROPE DIVISION
;10907401;10907401;K55555 KIPLING EUROPE DIVISION
13477160;;;K55555  Œ–ŒÕ¿ ŒŒŒ
;26205725;26205725;K56999 KASKAD LOGISTIC
11039767;;;K56999  ¿— ¿ƒ OOO
;37442640;37442640;K65432 KAGANSKI & Co GMBH
;10907210;10907210;K66666 KONFAEL JCS
16223626;;;K66666 KONFAEL.JCS
;10907402;10907402;K99988 NANSECK KRAUS & CO
;10907568;10907568;K99996 ODINTSOVSKAYA COND FABRICA
10902953;;;K99999 KENZO JEW DP RBL
;45126192;;KAGANSKI & CO GMBH                                                                                  
162236620;45125272;45125272;KF33315 KORLOFF Interlux 2
;37509375;37509375;KI12345 KINSKI Esterk
;32311264;32311264;KL12345 KEEL TOYS
15601787;;;KM100000 Ã≈ƒ≈ﬂ
;45125409;45125409;KM12389 KEIKO MICHERY (À¿ ÿ≈–»)
16223662;;;KM12389 KEIKO MICHERY (À¿ ÿ≈–»)
;45125274;45125274;KM22230 KEIKO MECHERI INTERLUX 2
16223622;;;KM22230 KEIKO MECHERI INTERLUX 2
14080114;;;KO15151  ŒÕ»  ŒŒŒ
;26194156;26194156;KO22215 KONIC OOO
15357422;;;KONIC GR
;10907211;10907211;KZ139 KENZO JEW
;10907211;10907211;KZ139 KENZO JEW
15981417;;;KZ55555 ERCI
;11039705;11039705;KZ6666 KENZO FASHION
;11039705;11039705;KZ6666 KENZO FASHION
;10907212;10907212;L00000 ESTEE LAUDER DKNY SKY
;10907316;10907316;L00001 DONNA KARAN E.Lauder
;10907213;10907213;L00002 ESTEE LAUDER CLINIQUE
;10923929;10923929;L00004 MICHAEL KORS E.LAUDER
;10907403;10907403;L00005 ARAMIS E.LAUDER
;11584055;11584055;L00006 MISSONI E.LAUDER
;20257031;20257031;L00007 TOM FORD BEAUTY E.Lauder
11852186;;;L0001 LANCOME DP SKY
;10907265;10907265;L02057 ARDEN LAGERFELD
;10907404;10907404;L02058 ELIZABETH ARDEN SKY
;10907317;10907317;L10001 LLADRO
;10907368;10907368;L10003 LANVIN EURO
;10907569;10907569;L100050 LA POUYADE
;10907509;10907509;L10006 LONGCHAMP
16222232;;;L10006 LONGCHAMP
16222232;10907509;10907509;L10006 LONGCHAMP
;10907510;10907510;L10007 LONDON PEARL COMPANY
13934538;;;L10010 L'OREAL PARIS
16223587;;;L10013 CHLOE
16223587;10907406;10907406;L10013 CHLOE Coty
;25616944;25616944;L10014 LANCASTER Coty
16223588;;;L10019 MARC JACOBS COTY
16223588;19259440;19259440;L10019 MARC JACOBS Coty
;38035218;38035218;L10020 OPI Coty
;10907511;10907511;L10030 LA SETA MANTERO
;10907511;10907511;L10030 LA SETA MANTERO
;10907407;10907407;L10031 LA SETA MANTERO SKY
;10907214;10907214;L10047 LOUIS ROEDERER S.A.
;10907215;10907215;L10055 CHAMPAGNE LAUREN PERRIER
11075402;;;L11000 À≈Ã¿- Œ– OOO
10902957;;;L11110 LUXOTTICA EURO UK (FORM B&L)
10902958;;;L11111 LONGCHAMP
;10907216;10907216;L11112 LULU GUINNESS SKY
;10920039;10920039;L11119 LF CONSALTING LTD
;10920039;10920039;L11119 LF CONSALTING LTD
;10923957;10923957;L12000 LIBERTY
;10907318;10907318;L12222 LINDT
15828970;;;L12222 LINDT
15828970;10907318;10907318;L12222 LINDT
10912772;;;L13098 LA SETA MANTERO EURO
15840663;;;L13579 LAMY- ALD INT
15840663;34495127;34495127;L13579 LUDING OOO
;10907408;10907408;L14808 LANCEL SKY
;10907409;10907409;L15808 LANCEL
16140707;;;L15808 LANCEL
16140707;10907409;10907409;L15808 LANCEL
;10907266;10907266;L16872 ESTEE LAUDER PARFUME
15982202;10907266;10907266;L16872 ESTEE LAUDER PARFUME
;10907319;10907319;L16873 ESTEE LAUDER SKY
15975634;45121260;45121260;L17000 LIFETRONS
;10907570;10907570;L20014 LANCASTER SKY
11689272;;;L25116 LANVIN COUTURE RBN
11092582;;;L33301 L.CONNAUGHTON&SONS LTD.
;32095286;32095286;L33312 LEXIIM OOO
;37950582;37950582;L33356 LADOGA
;37950582;37950582;L33356 LADOGA
14867972;;;L35500 L`OCCITANE
;10907217;10907217;L40433 LONGINES
;10907217;10907217;L40433 LONGINES
;43147037;43147037;L44115 LAVIANA ART LIMITED
15922954;;;L44444_ À‘¡ ŒŒŒ                                                                                     
15922954;;;L44444_OOO À‘¡
15922954;;;L44444_OOO À‘¡
14867972;20475049;20475049;L54321 L'OCCITANE
;10907320;10907320;L55545 LUXOTTICA EURO
10902957;10907320;10907320;L55545 LUXOTTICA EURO
14116318;;;L65655 LANCASTER - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;10924096;10924096;L70583 LIR CHOCS MARY WHITE
;33716588;33716588;L76543 LANVIN SUNGLASSES
;10924079;10924079;L88888 GRAND CITY OOO
10902959;;;L89130 LA SETA MANTERO
15087679;;;L98888 LEGO
;30771147;30771147;L99908 LANCEL BOUTIQUE
;10907513;10907513;L99989 LEGO OVERSEAS A/S
15087679;10907513;10907513;L99989 LEGO OVERSEAS A/S
;22245319;22245319;L99999 LES COPAINS (BVM)
;45120901;45120901;LA33312 LAMARTIS
;24329398;24329398;LA55516 LAMY-ALD INT
;24329398;24329398;LA55516 LAMY-ALD INT
15358688;;;LC00001 LES CONTES À≈ ŒÕ“
15358688;40531999;40531999;LC0001 LES CONTES
16223953;;;LC00440 LES CONTES –»◊                                                                              
14008246;;;LC23456 LACOSTE - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;40530128;40530128;LES CONTES
16223041;;;LG00037 À¿ ÿ≈–» √–”œœ
;20251636;20251636;LG3333+ LINIYA-GRAFIK ZAO
;24224617;24224617;LL1234 LOLITA LEMPICKA ESTERK
14348260;;;LL77744 BIOTHERM PBI
;12143309;12143309;L'OREAL
14877652;;;L'OREAL LUX GROUP
13934538;29342664;29342664;LP22222 L'OREAL PARIS
;10907571;10907571;LU124 LUKAS
;24207805;24207805;LVMH
;29202341;29202341;LW20005 LOEWE PERFUMES
10913918;;;M00000 MAJORICA EURO
10902960;;;M00001 MASTER DISTRIBUTION
;10907459;10907459;M00001 MONT BLANC P&G
10902961;;;M00002 Ãƒ 
10902962;;;M00003 METRO & KERRI
11380711;;;M00008 MARKET CONNECTIONS
10902963;;;M00010 MARTHEL ZAO
10902964;;;M00011 CROCUS
;10924083;10924083;M00056 PRICILLA CHAN
16223781;;;M00137 MADARA ¬» “Œ–»ﬂ                                                                              
16223732;45125577;;M00411 ŒŒŒ ÃŒÀ≈ ”À¿                                                                                 
11410701;;;M0101010 Ã≈“–Œ  ≈ÿ ›Õƒ  ≈––»
10902965;;;M02000 MILLENIUM-2000
10902966;;;M03000 MAGISTR BIBENDI OOO
16223637;45125931;45125931;M04660 ŒŒŒ ÃË‡ÌË
10902967;;;M10000 MOBIL-KONSTANT OOO
;10940038;10940038;M10010 MOBILE ENERGY
;10907460;10907460;M10043 MONT BLANC INT BV
;10907321;10907321;M10045 MEUKOW FELINE COGNAC
;10907321;10907321;M10045 MEUKOW FELINE COGNAC
;10924084;10924084;M10049 MARS HOLLAND
15900160;10924084;10924084;M10049 MARS HOLLAND
15900160;;;M10049 Ã¿–— √ŒÀÀ¿Õƒ»ﬂ
;10924092;10924092;M10052 M.BOWMORE SCOTCH WHISKY
;10924085;10924085;M10066 MS HOLDING AMBER
;10924081;10924081;M10066+ MS HOLDING PLUS
;10924086;10924086;M10088 MARNE & CHAMPAGNE DIFFUSION
;10924086;10924086;M10088 MARNE & CHAMPAGNE DIFFUSION
;10907574;10907574;M10092 MEISER CONSULTANCY
;10924104;10924104;M10094 MARKET CONNECTION EURO SKY
;10924103;10924103;M10095 WRIGHT MARKET CONN JEW
15981555;45121261;45121261;M10096 AYDYA LTD TRAVALO MC
15981555;;;M10096 AYDYA LTD TRAVALO MC SKY
;10907575;10907575;M10097 MOET & CHANDON
10902970;;;M10555 MISAKI V.T.LTD
;10907324;10907324;M10980 MAJORICA EURO
;10907324;10907324;M10980 MAJORICA EURO
10912570;;;M11000 ÿ¿–Ã OOO
10902971;;;M11001 MERKURIY OOO
;10907514;10907514;M11100 MARC ROZIER
;10907515;10907515;M11111 C.I.T.A.
;10924105;10924105;M11194 MARKET CONNECTION USD SKY
;32455976;32455976;M11555 MANCERA ESTERK
12738343;;;M12300 MAUI JIM SUNGLASSES
;10970781;10970781;M12333 MARCO FANTINI
;10907219;10907219;M12345 MAJORICA PSTA SKY
;10924116;10924116;M12346 STARY MASTER OOO
10969454;10924116;10924116;M12346 STARY MASTER OOO
10969454;;;M12346 —“¿–€… Ã¿—“≈– Õ¬ ŒŒŒ
;40267364;40267364;M12456 MEDVED TD OOO
;10907576;10907576;M13579 MDB TE GROUP
;10907577;10907577;M15360 MANAKAS
;27137465;27137465;M16789 Ãﬂ√ »… Ã»– OOO
11002275;;;M20001 ÃŒ¡¿…À ›Õ≈–ƒ∆»
;10907269;10907269;M20002 MONTBLANC SIMPLO GMBH
16064645;;;M20031 MOSCHINO
16064645;19241819;19241819;M20031 MOSCHINO Euroitalia
;10907578;10907578;M21345 MD GOURMEX LTD
11641982;;;M21345 MD GOURMEX LTD
;10907578;10907578;M21345 MD GOURMEX LTD
;25951767;25951767;M22223 MARUSYA BEVER RUSS OOO
;10923916;10923916;M23222 MORGAN & OATES
15981670;;;M23222 MORGAN & OATES
15981670;;;M23222 MORGAN & OATES
13441619;;;M33000 ¿—-Ã¿– ≈“
;23768789;23768789;M33312 AS-MARKET
;10907517;10907517;M44118 MARCO POLO
;10907517;10907517;M44118 MARCO POLO
13539670;;;M44499 Ã≈–»ƒ»¿Õ “–≈…ƒ»Õ√
;13595690;13595690;M47777 MILUS WEINER WATCH GROUP
;10907414;10907414;M51047 MISAKI VT LTD SKY
;10907415;10907415;M54321 MARCOLIN
11103527;10907415;10907415;M54321 MARCOLIN
11103527;;;M54321 MARCOLIN GROUP
;34274819;34274819;M54789 LA MARQUISE
;19116074;19116074;M55511 TOBACCO MARKETING MU
;40062409;40062409;M55545 SIA MONO
;40529713;40529713;M55555 MAV
14008128;;;M56789 MOSCHINO - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
15954362;;;M57700 MGI LUXURY GROUP S.A.
10902973;;;M66666 MAJORICA DP
16223418;;;M71113 Ã¿–– –”——»ﬂ ŒŒŒ                                                                              
16223418;;;M71113 ŒŒŒ Ã¿–– –”——»ﬂ
16223418;;;M71113 ŒŒŒ Ã¿––”——»ﬂ
;10907270;10907270;M73579 RAYMOND WEIL WATCHES
;10907270;10907270;M73579 RAYMOND WEIL WATCHES
;42567702;42567702;M75321 MEIRA T
;37221726;37221726;M87654 MAISON MARTIN MARGIELA PBI
;10923966;10923966;M88888 MAGESTIC IMPEKS OOO
;10923909;10923909;M88899 MARCHON UK LTD
15971536;;;M89765 MORELLATO
14008127;;;M98765 MEXX - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
;44667433;44667433;M99945 MARKA
;10907518;10907518;M99979 MATTEL EUROPA
;10907579;10907579;M99980 MAJORICA S.A.
;10907325;;M99989 EDRINGTON                                                                                    
;10907325;10907325;M99989 MAXXIUM TRAVEL RETAIL
;13641521;13641521;M99999 MAUI JIM SUNGLASSES
14050013;;;MA252000 MAMIX
16223577;;;MA8888 Ã»Õ»”Ã ¿–“  ŒÀÀ
16223577;45125188;45125188;MA8888 ÃËÌËÛÏ ¿Ú  ÓÎÎ
15481810;36919341;36919341;MD GOURMEX LTD
16223727;;;MF5432 MAX FACTOR -≈ƒ»Õ¿ﬂ ≈¬–Œœ¿                                                                    
;22297157;22297157;MHCS001 MHCS-SERVICE CLIENT&OPERATIONS LOGISTQUES
15946888;;;MIL1234 Ã»À¿–
14008126;;;MJ33330 MARC JACOBS - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
16223787;;;MO00672 ATKINSONS                                                                                   
;45125704;;MO00672 ATKINSONS                                                                                   
16064641;41947842;41947842;MONTALE ¡‡ÎÚËÍÓÏ
13934708;;;MP55500 MEPI
13934708;15934937;15934937;MP55555 MEPI
16222219;;;MR32654 MARCEL ROBERT
;39279514;39279514;MT12345 MAGIC TEXTILE TRADING LTD
10902974;;;N00001 NOVAYA ZARYA
10902975;;;N10001 NATURAL PRODUCTS ZAO
;10907220;10907220;N10002 N.RICCI COUTURE EURO
;10923906;10923906;N10003 N.RICCI COUTURE FFR
;10907519;10907519;N10011 SAFILO
;10907519;10907519;N10011 SAFILO
;10923864;10923864;N10020 NUOVA MOKAS SRL
;10907520;10907520;N10022 N.RICCI SKY
;10907326;10907326;N10031 NORIKO IRELAND LTD
10902976;;;N11111 NICLAS AG
12310664;;;N11133 Õ¿¡Œ–€ œ¿–‘ﬁÃ≈–»» »  Œ—Ã≈“» »
;21910627;21910627;N12333+ NASLEDIE
;22422552;22422552;N12345 NASLEDIE OOO
13053302;;;N12345 Õ¿—À≈ƒ»≈
;10907271;10907271;N15150 NEMIROFF COMPANY
;14325868;14325868;N15336 NIKE LLC (RUSSIA)
10909574;;;N22222 NINA RICCI COUTURE DP RBN
;10907521;10907521;N34420 NESTLE WORLD TRADE
;10907521;10907521;N34420 NESTLE WORLD TRADE
;32300083;32300083;N55555 NAT OOO
16222844;;;N66656 ◊»—“Œ≈ Õ≈¡Œ
15967978;;;NAVI
;41947840;41947840;NAVI PLU
;36316569;36316569;NB0001 NOUVELLE BAGUE
;39883260;39883260;NF1055 NEFT VODKA DISTRIBUTION LLC
16064071;;;NL654321 Õ≈ —»“ ÀŒ√»—“»  OOO
14008129;;;NR12345 NINA RICCI - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
10902977;;;O00001 ARMAGON OOO
11138584;;;O10000 Œƒ»Õ÷Œ¬— ¿ﬂ  ŒÕƒ»“≈–— ¿ﬂ ‘¿¡–» ¿ OOO
;10907522;10907522;O10001 ORO VITCHENZA
;10907522;10907522;O10001 ORO VITCHENZA
;10907523;10907523;O10004 PHILIPS DAP DIVISION
16222231;;;O10004 PHILIPS DAP DIVISION
;10907272;10907272;O10005 CAROLE PLUS GOLDOAK
;10907416;10907416;O10006 MERAKETECH
;45121114;45121114;O10096 CLARISONIC PBI
10902978;;;O11000 OST-ALCO
10902979;;;O11111 OCEAN+
;10907371;10907371;O20770 OST-ALKO
16064069;;;O33456 Œœ“»Ã¿“Œ–√ OOO
16223552;45124635;45124635;O45566 AJ Arabia Œ·ÒË‰Ë‡ÌÚ
16223627;45125285;45125285;O55533 TDK (ORO GOLD)
16147160;37985082;37985082;O65321 AMOUAGE Œ·ÒË‰Ë‡ÌÚ
16223729;;;O65432_ ¬Œ—‹Ã¿ﬂ »Ãœ≈–»ﬂ ŒŒŒ                                                                         
16223729;;;O65432_OOO ¬Œ—‹Ã¿ﬂ »Ãœ≈–»ﬂ                                                                          
;45122971;45122971;O86421 RSG TRADING LLP
;25883873;25883873;O99911 OLD PARFUME
;15218729;15218729;O99999 OAKLEY
16222989;;;OE5555 «¿Œ Œ–»≈Õ“¿À › —œ–≈——
16222989;;;OE5555 «¿Œ ŒËÂÌÚ‡Î ›ÍÒÔÂÒÒ
15981118;43239345;43239345;OK00364 OB KONDITERY OOO
15981118;;;OK00364 OB. CONDITERY OOO
12266153;;;OLD PARFUME
15968014;;;OLD_PLU
16222683;;;OP65433 Œœ“»Ã¿ œÀﬁ—
;45126108;;OSUP694 CHOBI                                                                                       
;45126109;;OSUP695 MONNALISA                                                                                   
;45126172;;OSUP697 BE KEEN LIMITED                                                                             
;45126324;;OSUP699 MAFRAT SPA                                                                                  
;45124213;45124213;OV55550 OVERSEAS
;45126113;;OVERSEAS                                                                                            
;10907327;10907327;OX162 OXYGEN SKY
;12143016;12143016;P&G
16223607;;;P&G____
;45124728;45124728;P000005 ŒŒŒ œ–Œ¬¿Õ—
16223407;;;P000005 ŒŒŒ œ–Œ¬¿Õ—
16223407;45124728;45124728;P000005 ŒŒŒ œ–Œ¬¿Õ—
;10907372;10907372;P00555 PEPSI CO
;10907372;10907372;P00555 PEPSI Co
;10907524;10907524;P01997 LA PRAIRIE
16223685;;;P01997 LA PRAIRIE
;10907524;10907524;P01997 LA PRAIRIE
16157273;;;P05321 PACO RABANNE PUIG
16157273;10907525;10907525;P05321 PACO RABANNE Puig
;10907273;10907273;P05322 PACO RABANNE SKY
10902982;;;P10000 PEPSICO HOLDINGS OOO
16157277;;;P10000 PRADA PUIG
16157277;10907328;10907328;P10000 PRADA Puig
10902983;;;P10001 PIVNOY DOM
;10907462;10907462;P10001 PREMIER PORTFOLIO EURO SKY
;10907462;10907462;P10001 PREMIER PORTFOLIO EURO SKY
;10907526;10907526;P10055 VALORA TRADE DENMARK
;10907274;10907274;P10078 CACHAREL PBI
14877524;10907274;10907274;P10078 CACHAREL PBI
;10907329;10907329;P10079 RALPH LAUREN PBI
16223582;10907329;10907329;P10079 RALPH LAUREN PBI
;10907463;10907463;P10080 GIORGIO ARMANI PBI
14877523;10907463;10907463;P10080 GIORGIO ARMANI PBI
;10907222;10907222;P10081 PALOMA PICASSO PBI
16177698;10907222;10907222;P10081 PALOMA PICASSO PBI
;10907417;10907417;P10082 GUY LAROCHE PBI
14877525;10907373;10907373;P10085 VICTOR & ROLF PBI
;12560437;12560437;P10095 DIESEL PBI
15981229;;;P10099 HELENA RUBENSTEIN PBI
;10907275;10907275;P10099 HELENA RUBINSTEIN PBI
15981229;10907275;10907275;P10099 HELENA RUBINSTEIN PBI
;10907418;10907418;P10780 CACHAREL PBI SKY
;10907223;10907223;P10800 GIORGIO ARMANI PBI SK
;10922057;10922057;P10997 LA PRAIRIE SKY
;10907582;10907582;P11000 POLYOT WATCHES
;10907527;10907527;P11100 PRADA SKY
;10907583;10907583;P11111 PORTSELAN
;10907419;10907419;P11112 PIA PRETOR
;14919314;14919314;P11115 PORTOLANO
16223709;45125473;45125473;P12000 12 PARFUMERS INTERLUX 2                                                                      
11713782;;;P12333 PORTOLANO
;10907464;10907464;P12345 P.KOASTAS & CIE EVEE
10902984;;;P12345 POLICE TIME
;10907584;10907584;P14673 LANCOME PBI
15192910;10907584;10907584;P14673 LANCOME PBI
;10907585;10907585;P14674 L'OREAL PBI SKY
;10907276;10907276;P15548 CARTIER PARFUME
;18424894;18424894;P15789 PROGRESS-PLUS OOO
10902985;;;P17001 ORCHID ZAO
;10907420;10907420;P17290 GIVENCHY PARFUMS
15834392;10907420;10907420;P17290 GIVENCHY PARFUMS
;10907465;10907465;P17291 GIVENCHY SKY
;10923902;10923902;P18784 ARDEN LAGERFELD OLD
;45123046;45123046;P234550 œŒ√¿–— ¿ﬂ —»√¿–≈“ÕŒ-—»√¿–Õ¿ﬂ ‘¿¡–» ¿
;45125854;;P34567 PIQUADRO                                                                                     
15979893;;;P52011 PANASONIC MARKETING CIS OY
;16821329;16821329;P55511 EL PACO
15192911;;;P65000 YSL PBI
;45120830;45120830;P65656 PAL ZILERI LAB
14382789;;;P66651 PRADA - ≈ƒ»Õ¿ﬂ ≈¬–Œœ¿
15192910;;;P75000 LANCOME PBI
;42767493;42767493;P77721 PRINCIPE
14877524;;;P78000 CACHAREL PBI
14877523;;;P80000 ARMANI
14877523;;;P80000 GIORGIO ARMANI PBI
14877525;;;P85000 VICTOR & ROLF PBI
;16332029;16332029;P85858 PAL ZILERI
;29316730;29316730;P87654 POLICE TIME WATCHES
15975548;;;P88888 PUIG SKY
16223541;45125116;45125116;P97531 PERRIS MONTE CARLO Interlux
;10907421;10907421;P98999 ORCHID COMPANY
;16584038;16584038;P99988 PATRON SPIRIT COMPANY
;10907224;10907224;P99989 PASCO GMBH
;10907467;10907467;P99997 PANASONIC C/S
;13034660;13034660;P99999 PAT SAYS NOW
15407860;;;PA55555 PARKER
