DISCOUNT_ID_EUR;DISCOUNT_ID_USD;DISCOUNT_ID_RUB;DESCR;;;;;;;;;
19796464;;;37 - J.WALKER BLUE 0.7L SAVE 51 EURO;;;;;;;;;
14480950;14480950;;38 - J.WALKER GOLD RESERVE 1L SAVE 5 UE;;;;;;;;;
14481025;;;39 - JW GOLD RESERVE 1L  save 5 EURO;;;;;;;;;
17357340;;;40 - JW EXPLORER CLUB SPICE ROAD 1L SAVE 4 EURO;;;;;;;;;
17357342;;;41 - JW BLACK 12 YO 7 euro OFF;;;;;;;;;
20015904;20015904;;42 - FAMOUS GROUSE FINEST 3 for 2;;;;;;;;;
20015927;;;43 - DUPONT POCHETTE 2 FOR 1;;;;;;;;;
13704701;;;44 - CHIVAS REGAL 1L SAVE 6 EURO;;;;;;;;;
13704734;;;45 -  JW DOUBLE BLACK BUY 1 SAVE 8 euro;;;;;;;;;
13704849;;;46 - RAFFAELLO 250G SAVE 2 EURO;;;;;;;;;
12475694;;;47 - VODKA KREMLIN AWARD 1L save 10 euro;;;;;;;;;
12767533;;;48 - VODKA SMIRNOFF RED 1L BUY 1 SAVE 2 EURO;;;;;;;;;
12767537;;;49 - REMY MARTIN VSOP FINE 12 EURO OFF;;;;;;;;;
17911945;;;50- WINE 20 (from 150 euro);;;;;;;;;
14278298;14278298;;51 - J.W.  RED LABEL 3 FOR 2;;;;;;;;;
14278321;;;52 - VODKA FINLANDIA buy 2 get 20 pers discount;;;;;;;;;
14318534;;;53 - REMY MARTIN XO EXCELL 1L 40 EURO OFF;;;;;;;;;
14896800;;;54 - BALANTINES FINEST 1L BUY 3 FOR 2;;;;;;;;;
14902940;;;55 - BAILEYS CHOCOLAT LUXE 0.5L SAVE 6 EURO;;;;;;;;;
14902942;;;56 - J.W.  DOUBLE  BLACK  SAVE 8 EURO;;;;;;;;;
14902995;;;57 - JACK DANIELS 1L BUY 2 SAVE 20 PERS;;;;;;;;;
15151455;;;58 - JACK DANIELS GENTLEMAN JACK 1L SAVE 20 PERS;;;;;;;;;
15151527;;;59 - Vodka KREMLIN AWARD 0.7L GB save 16 euro;;;;;;;;;
15151957;;;60 - JIM BEAM WHITE 1L  3 FOR 2;;;;;;;;;
15151959;;;61 - JACK DANIALS SILVER SELECT 0.75L SALVE 20 PERS;;;;;;;;;
15151960;;;62 - GORDONS 1L  2 euro OFF;;;;;;;;;
15151961;;;63 - HAVANA CLUB ANEJO 3 YO 1L  4 euro OFF;;;;;;;;;
15451708;;;64 - VODKA RUSSIAN STANDART 1L SAVE 4 EURO;;;;;;;;;
15451709;;;65 - VODKA PARLAMENT 1L SAVE 3 EURO;;;;;;;;;
16327882;;;66 - GANCIA SAVE 2 EURO;;;;;;;;;
16598421;;;67 - VODKA ABSOLUT 1L BUY 2 SAVE 20 PERS;;;;;;;;;
16598435;;;68 - COURVOISIER VSOP 1lL save 5 euro;;;;;;;;;
16598436;;;69 - NESTEA GREEN 20 PERSENT OFF;;;;;;;;;
16598483;;;70 - ABSENTE SS VAN GOGH SAVE 4 EURO;;;;;;;;;
16782955;;;71- DON JULIO BLANCO 0.75L 6 EURO OFF;;;;;;;;;
17371490;;;72 - LANCEL BAG buy1 get WALLET 866967  free;;;;;;;;;
18897369;;;73 - OLMECA GOLD+BLANCO 2x1L  SAVE 10 EURO;;;;;;;;;
20318899;20318899;;74 - any OMEGA watches - 20 perc off;;;;;;;;;
16788045;;;75- MARTELL VSOP 1L save 8 euro;;;;;;;;;
16839066;;;76 - BACARDI 1L BUY ANY 2 SAVE 3 EURO ;;;;;;;;;
16839067;;;77 - GLENLIVET BUY 3 FOR 2;;;;;;;;;
16839069;;;78 - SMIRNOFF RED 1L 2 EURO OFF;;;;;;;;;
16839070;;;79 -  MALTESERS POUCH 300 gr save 2 EURO;;;;;;;;;
16839071;;;80 -  ANY  RUS CHOCOLATE 15 percent off;;;;;;;;;
16849995;;;81 - MERCI 400 gr 2 EURO OFF;;;;;;;;;
16897222;16897222;;82 - JACK DANIELS + J.D.SILVER buy 2 get 20 perc off;;;;;;;;;
16904775;;;83 - LINDT 500gr 4 EURO OFF ;;;;;;;;;
17253411;;;84 - SKITTLES FRUITS PUOCH 400 gr save 2  euro;;;;;;;;;
17253412;;;85 - VODKA BELUGA 9 EURO OFF;;;;;;;;;
17253413;;;86 - ABSENTE 55 VAN GOGH 0.1 L save 2 EURO;;;;;;;;;
17253414;17253414;;87 - CARRERA OLD COLECTION 20 PER OFF;;;;;;;;;
17357201;;;88 - FERRERO ROCHER 600GR 3 for 2;;;;;;;;;
17357210;;;89 - PROMO LIQUERS - DISCOUNT 10 SVO2;;;;;;;;;
17357211;;;90 -  MIXED MINI BAG 500 gr 2 euro off;;;;;;;;;
21854230;;;90 -90 Oro Vichenza include Dcard íà ïîçèöèþ;;;;;;;;;
17357223;;;91 - ANY M&M 2 EURO OFF;;;;;;;;;
17357227;;;92 - CHIVAS Brothers Blend 12 YO  save 10 euro;;;;;;;;;
