GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP
45122362;RUSS;;
45122363;SOBRANIE;;
45122364;PIPER HEIDSIECK;;
45122365;PATRON;;
45122366;SWISS TRAVEL PRODUCTS;;
45122367;LLADRO;;
45122368;LA MER;;
45122369;TRUST;;
45122371;BELUGA;16223080;BELUGA
45122372;LANCEL;;
45122373;GLENMORANGIE ;;
45122374;ARDBEG ;;
45122375;GOEBEL;;
45122376;FENDI;16222719;FENDI
45122377;XUXU;;
45122379;KINDER CHOCOLATE;;
45122380;MAKERS MARK ;;
45122381;DIESEL;;
45122382;COTE D'OR;;
45122383;CHLOE;16222708;CHLOE
45122384;QUALITY STREET;;
45122385;MONDORO;;
45122386;DALMORE;;
45122387;CHATELLE NAPOLEON;;
45122388;MARS;16223154;MARS
45122389;SNICKERS ;16223157;SNICKERS 
45122390;TWIX ;16223158;TWIX 
45122391;BOUNTY;16223156;BOUNTY
45122392;CAOL ILA;;
45122393;WWF PLUSH COLLECTION;16223006;WWF PLUSH COLLECTION
45122394;MAGERIT;;
45122395;LONGCHAMP;16223060;LONGCHAMP
45122396;JUST;16223014;JUST
45122397;PUCCI;;
45122398;MJ;16222712;MJ
45122399;GLAMOUR;;
45122400;MALTESERS;16223153;MALTESERS
45122401;CELEBRATIONS;;
45122402;SISLEY;16222692;SISLEY
45122403;CHAPELLE DE LA TRINITE;;
45122404;MOULIN DE PAUMIRAC;;
45122405;GLENROTHES;;
45122406;PERE MAGLOIRE;;
45122407;HAMMER&SOHNE;;
45122408;JOHN RICHMOND;16222735;JOHN RICHMOND
45122410;KINDER SURPRISE;;
45122411;KIEHL'S;;
45122412;AGATHA RUIZ DE LA PRADA;;
45122413;TIC TAC;;
45122414;AKG;;
45122415;HENDRICK'S ;;
45122416;MOLINARI ;;
45122417;HIGHLAND PARK;;
45122418;ZACAPA;;
45122419;EMTEC;;
45122420;SONIA RYKIEL;16223235;SONIA RYKIEL
45122421;MATTEL;16222791;MATTEL
45122424;OAKLEY;;
45122426;POLICE;16223169;POLICE
45122427;ESCADA;16222634;ESCADA
45122428;BLUMARINE;;
45122429;NUTELLA;;
45122430;EMPORIO ARMANI;;
45122431;SKAGEN;;
45122433;SILHOUETTE;;
45122434;VALENTINO;16222759;VALENTINO
45122435;SERGE LUTENS;;
45122438;DONNA KARAN;;
45122439;¡¿¡¿≈¬— »… ;;
45122442;MONTALE;16222731;MONTALE
45122443;AMOUAGE;16222664;AMOUAGE
45122444;OKKI;16222686;OKKI
45122445;MEMO;16222646;MEMO
45122447;BALLY;;
45122448;CARON;16222641;CARON
45122450;TUMI;;
45122452;VDOHNOVENIE;16223164;VDOHNOVENIE
45122454;ÃŒ— ¬¿;;
45122455;RANCE;16222715;RANCE
45122456;LES CONTES;16222741;LES CONTES
45122457;KORLOFF;16222738;KORLOFF
45122458;HISTOIRES DE PARFUM;16222727;HISTOIRES DE PARFUM
45122461;BRACCIALINI;;
45122462;SAIMAA;;
45122463;DROVA;;
45122464;¿ Ã;16222640;¿ Ã
45122465;LAPHROAIG ;;
45122469;BBURAGO;16222975;BBURAGO
45122470;CARRERA RC;;
45122471;FAMOSA;16222660;Famosa
45122472;MEGA BLOKS;16222977;MEGA BLOKS
45122473;Trudi;16222659;Trudi
45122474;BEBELINO;16223013;BEBELINO
45122475;FRANCK BOCLET;16222722;FRANCK BOCLET
45122476;SILLAGE;16222695;SILLAGE
45122477;SWISS MILITARY ;16223168;SWISS MILITARY 
45122478;MACKINLAY'S;;
45122479;HOUBIGANT;16222728;HOUBIGANT
45122480;–¿— ¿“;;
45122481;PHOTOFAST;16223120;PHOTOFAST
45122482;ELARI;16223119;ELARI
45122483;BENBAT;16222998;BENBAT
