DP_SUP_ID;DF_USD_ID;DF_SUP_ID;SUP_NAME
11390230;45120595;45120595;R888888   –”—“ »Õ Œ–œŒ–›…“≈ƒ
11641982;10907578;10907578;M21345     MD GOURMEX LTD 
13698064;23815698;23815698;R99999     ROSALKO-NEVA ZAO
14120281;27089534;27089534; ŒÕ—»√Õ¿÷»ﬂ
14323943;28551042;28551042;---
14323944;28421445;28421445;JSL TRADING
15481810;36919341;36919341;MD GOURMEX LTD
15598539;36919163;36919163;"«¿Œ ""¿›–Œ‘≈–—“"""
15601393;28840119;28840119;J99999      JSL TRADING AG
15828970;10907318;10907318;L12222      LINDT 
15834392;45121228;45121228;GI20000    GIVENCHY PARFUME DP
15855616;40173724;40173724;E55545     RAMON MOLVIZAR Exility
15872568;24612378;24612378;A33315+   AEROBRIDGE OOO
15876813;10907232;10907232;T10045     TRAVEL RETAIL INNOVATIONS  
15913684;10907446;10907446;C27565     CHANEL PARFUMS
15948027;42520715;42520715;I98765    SILLAGE Interlux
15971592;10907208;10907208;J20060     JULES DESTROOPER 
15975634;45121260;45121260;L17000      LIFETRONS
15980835;28593085;28593085;A32111     AVANTA ELECTRONICS
15981228;45123595;45123595;DK33331   DYRBERG KERN
15981558;45124149;45124149;DE22222     DESIGUAL
15981670;10923916;10923916;M23222     MORGAN & OATES 
15982202;10907266;10907266;L16872     ESTEE LAUDER PARFUME 
16054609;25256699;25256699;SUPPLIERS 03 (PERFUMERY & COSMETICS)
16054682;25344341;25344341;SUPPLIERS 06 (CONFECTIONARY)
16054684;25344173;25344173;SUPPLIERS 04 (ELECTRONICS)
16054713;25344076;25344076;SUPPLIERS 07 (JEWELLERY)
16054717;25291147;25291147;SUPPLIERS 12 (WATCHES)
16064637;26048125;26048125;T55567     TIMELESS LUXERY PRODUCTS
16080150;32653273;32653273;E03033     EDOX
16140707;10907409;10907409;L15808     LANCEL 
16143158;42578065;42578065;VE2333     VERSUS
16147160;37985082;37985082;O65321    AMOUAGE Œ·ÒË‰Ë‡ÌÚ
16150193;42521079;42521079;B87452     BRIC'S
16150362;25344342;25344342;SUPPLIERS 02 (TOBACCO)
16150363;25344217;25344217;SUPPLIERS 08 (GLASS / CHINA)
16150364;25344340;25344340;SUPPLIERS 10 (DELICATESSEN)
16150365;25344252;25344252;SUPPLIERS 11 (SUNGLASSES)
16152905;44185423;44185423;INTERLUX
16152906;44185424;44185424;I75666    KORLOFF Interlux
16157273;10907525;10907525;P05321      PACO RABANNE Puig
16157276;10907434;10907434;A10015     CAROLINA HERRERA Puig
16157277;10907328;10907328;P10000      PRADA Puig
16157331;10971322;10971322;PUIG
16165066;44514878;44514878;EXILITY
16165067;44514879;44514879;E55546     TORRE Exility
16165068;44514880;44514880;E55547     MASQUE Exility
16165069;44514881;44514881;E55548     ROSE & Co Exility
16165070;44514882;44514882;E55549     SEVIGNE Exility
16171437;44153565;44153565;EN44567    ELECTRONIC NOVELTIES
16177698;10907222;10907222;P10081     PALOMA PICASSO PBI  
16192379;44809367;44809367;A72508     ¿ﬂ —-œ–≈—— ŒŒŒ
16222195;45120509;45120509;E55550     X-RAY Exility
16222203;45120567;45120567;E55551     PECCATO Exility
16222231;10907523;10907523;O10004     PHILIPS DAP DIVISION  
16222232;10907509;10907509;L10006     LONGCHAMP 
16222253;10922384;10922384;D20030     DOLCE & GABBANA P&G
16222258;45120906;45120906;EN12355   ENNS
16222266;42567736;42567736;SF25836  SCUDERIA FERRARI
16222279;10907358;10907358;DR5432     DE RIGO
16222284;45121166;45121166;—76123   CLOUDZ TRAVEL ACCESSORIES
16222300;45121100;45121100;A65432     AVTOGRAF
16222630;10907556;10907556;E10022     ESCADA P&G
16222631;10907255;10907255;E33965     LACOSTE P&G
16222668;43252561;43252561;BS55545   BODY SHOP
16222847;45123748;45123748;K55545     KILIAN Esterk
16222849;45123746;45123746;B54321     BYREDO Esterk
16222881;20257031;20257031;L00007     TOM FORD BEAUTY E.Lauder
16222882;10907445;10907445;C10020     CLINIQUE E.Lauder
16222987;45124013;45124013;S67891    SHAIKH Esterk
16222990;10908145;10908145;B10029     NARCISO RODRIGUES BPI
16222992;10907387;10907387;B10027     ISSEY MIYAKI BPI
16222994;45123641;45123641;"S10500   ŒŒŒ ""—¿ — »√–”ÿ »"""
16223206;45124180;45124180;CC00001  CLIVE CHRISTIAN Esterk
16223207;45124181;45124181;A014660   Asgharali Esterk
16223208;27146387;27146387;J22345     JUILETTE HAS A GUN Esterk
16223212;45124188;45124188;AJ00001    AJMAL
16223228;45120761;45120761;SONYA RYKIEL
