Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
ART_FUENTE        	Arture Fuente            	ARTURO FUENTE	0,9	45122565	ARTURO FUENTE            
B00839            	ARTURO FUENTE            	ARTURO FUENTE	1	45122565	ARTURO FUENTE            
AS                	AS                       	ASI	0,7	45125583	ASI                      
B01466            	Asgharali                	ASGHARALI	1	45124183	ASGHARALI                
B01469            	ASH- Ashford Handels GmbH	ASHFORD	0,5	45124214	ASHFORD                  
B01495            	ASI                      	ASI	1	45125583	ASI                      
ASTI_MART         	Asti Martini             	MARTINI	0,8	45122214	MARTINI                  
B01505            	ATKINSONS                	ATKINSONS	1		ATKINSONS                
B00840            	AULDEY                   	AULDEY	1	45122834	AULDEY                   
AURORA            	Aurora                   	AURORA	1	45122719	AURORA                   
B00841            	AUSINI                   	ZAINI	0,4	45124732	ZAINI                    
B00842            	AUTOTIME                 	AUTOTIME	1	45122671	AUTOTIME                 
B00843            	AVALANCHE                	AVALANCHE	1	45122771	AVALANCHE                
B01480            	AVANZO                   	LAVA	0,5	45122717	LAVA                     
B00844            	AVIATOR                  	AVIATOR	1	45124881	AVIATOR                  
AVO               	AVO                      	AVO	1	45122273	AVO                      
AZZARO            	AZZARO                   	AZZARO	1	45124033	AZZARO                   
B01169            	B01173                   	B01160	0,6	45125340	B01160                   
B01383            	B01383                   	B01160	0,4	45125340	B01160                   
B01384            	B01384                   	B01160	0,4	45125340	B01160                   
B01397            	B01397                   	B01097	0,6	45125127	B01097                   
B01398            	B01398                   	B01160	0,4	45125340	B01160                   
B01399            	B01399                   	B01499	0,6		B01499                   
B01400            	B01400                   	B01449	0,6	45125339	B01449                   
B01401            	B01401                   	B01449	0,6	45125339	B01449                   
B01403            	B01403                   	B01449	0,6	45125339	B01449                   
B01409            	B01409                   	B01509	0,6	45125886	B01509                   
BACARDI           	Bacardi                  	BACARDI	1	45122150	BACARDI                  
B01415            	BAGGINI                  	BAGGINI	1		BAGGINI                  
BAILEYS           	Baileys                  	BAILEYS	1	45122187	BAILEYS                  
B00846            	BAILLAURY                	BAILLAURY	1	45122636	BAILLAURY                
BAKUGAN           	Bakugan                  	BAKUGAN	1	45122724	BAKUGAN                  
BOSS_BAL          	BALDESSARINI             	BALDESSARINI	1	45124032	BALDESSARINI             
B00847            	BALDESSARINI             	BALDESSARINI	1	45124032	BALDESSARINI             
BALENCIAGA        	Balenciaga               	BALENCIAGA	1	45124724	BALENCIAGA               
B00848            	BALLANTINES              	BALLANTINES	1	45122154	BALLANTINES              
BALL_F            	Ballantines Finest       	BALLANTINES	0,8	45122154	BALLANTINES              
BALL_G            	Ballantines Gold         	BALLANTINES	0,9	45122154	BALLANTINES              
BALL_M            	Ballantines Malt         	BALLANTINES	0,9	45122154	BALLANTINES              
BALLY             	Bally                    	BALLY	1	45122447	BALLY                    
BALVENIE          	Balvenie                 	BALVENIE	1	45122361	BALVENIE                 
