name;swsdfusdid;swsdfid;swsdpid;Vendor No_
S33333 SOUNDLINE;10912490;10912490;0;
S35353 JFM HELLO KITTY;32634464;32634464;0;
S40004 SELDICO KENZO;0;0;13978111;
S50005 SELDICO DIOR;0;0;13978112;
S54321 SISLEY;0;0;15968003;
S60006 SELDICO FENDI;0;0;15116112;
S60017 SERGE LUTENS SHISEIDO;43209096;43209096;0;
S65432 STORK TRAVEL RETAIL;0;0;13473946;
S67891 SHAIKH ESTERK;45124013;45124013;16222987;
S70216 OMEGA WATCHES;10907381;10907381;0;
S84443 SWAROVSKI SKY;10907336;10907336;0;
S88888 SEEBERGER;0;0;16222282;
S99989 SWAROVSKI SILVER CRYSTAL;10907473;10907473;0;
S99999 STETSON;0;0;16222281;
SB23333 SONYA BY;45120762;45120762;0;
SC12345 SCORPIO TRAVEL RETAIL;13720558;13720558;16147138;
SF25836 SCUDERIA FERRARI;42567736;42567736;16222266;
SG55510 SILLAGE INTERLUX 2;45125273;45125273;16223621;
SH33333_SCHCHARD&FRIESE;0;0;16223050;
SI1234 SISLEY;20248912;20248912;0;
SIA MONO;45125713;45125713;0;
SK55511 SKAGEN;42567128;42567128;0;
SKW409 SKW (ннн щя.йеи.бюи+ );45125518;45125518;0;I_SUP409
SL55530 SOUNDLINE;0;0;14114614;
SM12345 SWISS MILITARY - HANOWA;30337724;30337724;0;O_SUP236
SP12345 бшанп OOO;0;0;11418709;
SP88820 ярнкхвмше онярюбйх ннн;45124442;45124442;16223343;I_SUP396
SS00011 SWISS SMILE;25925276;25925276;15963513;
ST0000 STEP GROUP OOO;10907475;10907475;0;
ST12345 TAMBER SP;10907476;10907476;0;
ST65545 STROCHKOV IP;43255349;43255349;0;
SUP671 AUTOGRAPH TRAVEL LIMITED;45125650;45125650;0;O_SUP671
SZ4444 якюбю гюижеб кюйьепх;0;0;16223504;
T01015 TOM FORD PRIVATE BLENDS E.LAUDER;26043347;26043347;0;
T05555 TOCHKA OPORY+;28821448;28821448;0;
T10045 TRAVEL RETAIL INNOVATIONS;10907232;10907232;15876813;
T12345 TOMAS SABO SILVER;10907429;10907429;0;
T12468 TALIKA;44550935;44550935;14113498;
T22299 TBN TIME(MOSCHINO);0;0;14115684;
T32759 TEXIER;10907430;10907430;0;
T4512SK TOSCOW;0;0;15975543;
T55545 PAUL & SHARK;10907382;10907382;0;
T55567 TIMELESS LUXERY PRODUCTS;26048125;26048125;16064637;
T65545 TONUS ннн;43255373;43255373;0;
T76543 TINTAMAR;0;0;14832865;
T77715 рлут цпсоо;0;0;15082379;
T81379 TISSOT WATCHES;10907235;10907235;0;
T87654 TMXF OOO;22606740;22606740;0;
T98765 йпелкебяйхи рд;0;0;16222223;
TA11511 TBN TIME(AEROWATCH);0;0;15946228;
TAG1234 TAG HEUER WATCHES;10907236;10907236;0;O_SUP239
TD1175+ SWK;12978513;12978513;0;
TD11757 SWK TD;10907479;10907479;0;
TE33333 TESTERS;0;0;16223767;
TG11511 TBN TIME(GALLIANO);0;0;15946229;
TJ11511 TBN TIME(JOHN GALLIANO);0;0;15946230;
TK11511 TBN KENNETH COLE;0;0;16223333;
TM1111 TIME & MORE E.K;42523062;42523062;15949607;
TM77717 TECHNOMARINE;26195164;26195164;15880368;
TR12345 TRAVELTELECOM;10923967;10923967;0;
TS11511 TBN TIME(SEIKO);0;0;15946227;
U00001 ондюпнвмши рейярхкэ;0;0;10903019;
U00002 чмхрния-л OOO;0;0;11116675;
U00388 ннн тхплю смхрпнм;45123208;45123208;16223410;I_SUP388
U10022 ннн спемункэр;0;0;13070299;I_SUP255
U11111 UNITOYS OOO;11352618;11352618;0;
U12222 U.TOYS;15105661;15105661;0;
U14222 DIAGEO UDV+BAILEYS;10907338;10907338;0;O_SUP531
U55555 UNIT;30392527;30392527;0;
U86366 UNDERBERG;10907179;10907179;0;
UM12338 UNITOYS MSK OOO;39829949;39829949;15924874;
V00112_ IMMAGINE S.R.L (VERSACE);15452243;15452243;0;
V00123 бнкцнпевемяйпшаунг;45125186;45125186;0;
V00137 бхйрнпхъ ннн;43747035;43747035;16064640;I_SUP137
V11112 VERSACE ESCALE HOLDING LTD;14051117;14051117;0;
V12345 ннн рой ╚бхкнм╩;0;0;16037549;I_SUP080
V20032 VERSACE EUROITALIA;19229424;19229424;16064644;O_SUP124
V32100 VERSACE - едхмюъ ебпною;0;0;14008191;
V33344 ITALCOM;10907339;10907339;0;
V37000 бюьепнм рнпцнбши юкэъмя ннн;0;0;16064642;
V50170 ннн бюкемяхъ щйяопеяя;0;0;16223643;I_SUP403
V50909 VALENTINO PUIG;28935154;28935154;16222233;
V54321 VALENTINO - едхмюъ ебпною;0;0;14344790;
V55331 VERBILKI PORCELAIN WORKS;29007930;29007930;0;
V55545 бемяйхи щйяопеяя йюте;0;0;15953951;
V87654+ VESTA TRADE;31862360;31862360;0;
VE2333 VERSUS;42578065;42578065;16143158;
W00111 WHITE HALL;10907541;10907541;10903026;I_SUP258
W10017 WBDF_IRISH DISTILLERS;10907542;10907542;0;
W10018 WBDF_CHIVAS BROTHERS LTD;10923832;10923832;0;
W10019 WBDF_HIBBERTS_WINE_OLD;10923877;10923877;0;
W10020 WBDF_MARTELL_HIBBERTS_OLD;10923838;10923838;0;
W10021 WBDF_HIBBERTS;10923827;10923827;0;
W10022 WBDF_ABSOLUT_HIBBERTS_OLD;16896563;16896563;0;
W10810 WOODYSCOVERY OU;40289496;40289496;0;
W22222 WHTEHOUSE LEISURE LLP;0;0;14867976;
W41150 WHITEFIELD INVEST LTD;45125876;45125876;0;O_SUP672
W55555 WOLFORD;45122135;45122135;0;
W87655 WEITNAUER DISTRIBUTION LTD;26195404;26195404;0;
W98765 WELCOME+;25926264;25926264;14029982;
WA55555 WATERMAN;0;0;15407861;
WEITNAUER DISTR.;45125712;45125712;0;O_SUP468
WHITEFIELD INVEST LTD;45125906;45125906;0;O_SUP672
WWF123 WWF;42576177;42576177;14136269;
Y10009 MAJORICA SKY;10907340;10907340;0;
Y10010 CALVIN KLEIN;0;0;16223579;
Y10010 CALVIN KLEIN UNILEVER COTY;10907285;10907285;0;
Y12300 YSL BEAUTY;0;0;11728831;
Y12345 ъмрюпмюъ цпнгдэ ннн;0;0;11446617;
Y55511 YEREVAN BRANDY COMPANY;25979735;25979735;0;
Y66648 YSL PBI;10907545;10907545;15192911;
YEREVAN BRANDY COMPANY;36919342;36919342;0;
Z40040 ZEGNA E.LAUDER;22552917;22552917;0;
ZD12345 ZENITH WATCHES;10907484;10907484;0;
ющпнлюп;0;0;10971588;
гюн ющпнтепяр;36919163;36919163;15598539;I_SUP366
ннн юцпхйнкэ яхрх;45126149;45126149;16223892;
я00395 ннн я-рпеид;45124258;45124258;16223236;
я12345 ннн тхплю ярюмаеб;0;0;15922984;I_SUP139
я33311 COFFEE BREND DISTRIBUTION;0;0;13527375;
я76123 CLOUDZ TRAVEL ACCESSORIES;45121166;45121166;16222284;
юпр юкэъмя щйн;0;0;0;AA_ECO
ннн юяр-хмрепмщьмк хмбющпнлщмр;0;0;0;I_SUP003
ннн опелхсл-тсдя;0;0;0;I_SUP008
ннн оеояхйн ункдхмця;0;0;0;I_SUP012
гюн апох;0;0;0;I_SUP017
гюн днлндеднбн ющпнрщкэ;0;0;0;I_SUP028
ннн бнярнй-гюоюд;0;0;0;I_SUP032
ннн яй рнпцнбкъ;0;0;0;I_SUP038
ннн рд я-бй ябй;0;0;0;I_SUP041
ннн мэч-норхйю;0;0;0;I_SUP042
ннн тхплю кнрня-кемд;0;0;0;I_SUP044
ннн яюлянмюир;0;0;0;I_SUP053
ннн ярнкхвмше якюднярх;0;0;0;I_SUP065
ннн ахц рпеид;0;0;0;I_SUP068
ннн ╚оюмщл╩;0;0;0;I_SUP070
ннн йпхярюкк-беяр;0;0;0;I_SUP077
ннн нпхнм цпсоо;0;0;0;I_SUP078
ннн юккхцюрнп;0;0;0;I_SUP079
ннн тхплю ярхт;0;0;0;I_SUP081
ннн тсд дхрпхаэчьем цпсоо;0;0;0;I_SUP082
ннн ющпн-апхдф;0;0;0;I_SUP083
ннн цепюкэр;0;0;0;I_SUP086
ннн дх дфх рпеидхмц;0;0;0;I_SUP087
ннн йбюррпн;0;0;0;I_SUP088
ннн рд онкъмю;0;0;0;I_SUP090
гюн пняюкйн-мебю;0;0;0;I_SUP091
гюн йюлвюдюк;0;0;0;I_SUP092
ннн ╚яюмрнвю╩;0;0;0;I_SUP093
гюн епебюмяйхи йнмэъвмши гюбнд;0;0;0;I_SUP096
ннн ющпн-апхдф чмхнм;0;0;0;I_SUP097
хо аюпюмнб я.б.;0;0;0;I_SUP098
ннн йюяйюд кнцхярхй;0;0;0;I_SUP099
хо рспахмю н.б.;0;0;0;I_SUP100
гюн апох;0;0;0;I_SUP101
ннн яонпррнбюпш аняйн;0;0;0;I_SUP102
нюн сдюпмхжю;0;0;0;I_SUP103
ннн юопекэ;0;0;0;I_SUP104
ннн оепхден пся;0;0;0;I_SUP106
ннн щдлхмя;0;0;0;I_SUP107
ннн лндю опелхсл;0;0;0;I_SUP108
ннн кю оекке теьм;0;0;0;I_SUP109
гюн аекне гнкнрн;0;0;0;I_SUP110
ннн рюилрщй;0;0;0;I_SUP111
ннн хмрекрпеид TK;0;0;0;I_SUP112
ннн йа яепбхя;0;0;0;I_SUP113
ннн щйяюкхрх;0;0;0;I_SUP114
ннн щяоепюмя;0;0;0;I_SUP116
ннн наяхдхюмр;0;0;0;I_SUP117
ннн ахахйнл;0;0;0;I_SUP118
ннн кта;0;0;0;I_SUP119
ннн оюптчл опеярхф;0;0;0;I_SUP120
ннн чмхдфек;0;0;0;I_SUP121
гюн яеикя;0;0;0;I_SUP122
ннн йнкхгеи;0;0;0;I_SUP124
ннн ебпнйюпрю;0;0;0;I_SUP125
ннн аюкрхйнл;0;0;0;I_SUP127
ннн дфсях йнлоюмх;0;0;0;I_SUP128
ннн анмю;0;0;0;I_SUP129
ннн йсумъ ╧ 1;0;0;0;I_SUP130
ннн йбнкхрх;0;0;0;I_SUP131
ннн рд опнейр 21;0;0;0;I_SUP132
ннн ямюаяепбхя;0;0;0;I_SUP133
хо аюжсебю;0;0;0;I_SUP134
ннн бедй;0;0;0;I_SUP135
ннн мебяйхи аепец;0;0;0;I_SUP136
ннн пхьщя;0;0;0;I_SUP138
ннн опелэеп аэчрх кюим;0;0;0;I_SUP140
ннн щйяопеяя ледхю люпйер;0;0;0;I_SUP141
ннн чбекхп;0;0;0;I_SUP142
ннн мхй-й;0;0;0;I_SUP143
ннн люпсяъ аебепедфхя пся;0;0;0;I_SUP145
OOO рй цпюр-беяр;0;0;0;I_SUP146
ннн норхлюрнпц;0;0;0;I_SUP147
ннн щмя;0;0;0;I_SUP149
ннн ярюпр;0;0;0;I_SUP150
ннн уепою ямц;0;0;0;I_SUP151
ннн ярхкэ;0;0;0;I_SUP152
ннн хмрепкчйя;0;0;0;I_SUP153
ннн цпюрбеяр;0;0;0;I_SUP154
ннн юяоейр;0;0;0;I_SUP155
ннн рпеид ярюп;0;0;0;I_SUP157
ннн опхръфемхе;0;0;0;I_SUP158
ннн ющпн-апхдф рпеидхмц;0;0;0;I_SUP159
ннн щкхр ащцг;0;0;0;I_SUP161
ннн т.оюпрмепя;0;0;0;I_SUP162
гюн цеаю;0;0;0;I_SUP163
ннн чмхрния ляй;0;0;0;I_SUP164
ннн норхлю аэчрх;0;0;0;I_SUP165
ннн ълюк;0;0;0;I_SUP166
ннн йнмхй;0;0;0;I_SUP167
ннн лхкюп;0;0;0;I_SUP168
ннн охйбюдпн пся;0;0;0;I_SUP169
TORGSERVICE XXI BABAEVSKOE;0;0;0;I_SUP183
UNITOYS-MCK;0;0;0;I_SUP190
IRISHBAR;0;0;0;I_SUP192
гюн псяяйхи хйнпмши днл;0;0;0;I_SUP224
ннн цй йпхярюкк-кетнпрнбн;0;0;0;I_SUP235
OOO чохреп;0;0;0;I_SUP240
ннн пбй пюяйюр;0;0;0;I_SUP358
ннн дпебн фхгмх;0;0;0;I_SUP360
ннн щярепйоюптчл;0;0;0;I_SUP361
хо хкэхмю м.б.;0;0;0;I_SUP362
ннн назедхмеммше йюмдхрепш;0;0;0;I_SUP364
ннн рнмся;0;0;0;I_SUP372
ннн цпюмд ахфс;0;0;0;I_SUP376
гню юпхпюл;0;0;0;I_SUP378
ннн йеий люпйер;0;0;0;I_SUP379
ннн йнмжеор-аюп;0;0;0;I_SUP380
ннн кейнмр;0;0;0;I_SUP381
OOO юбрнцпют;0;0;0;I_SUP382
ннн аецелнр пслъмжебн;0;0;0;I_SUP383
ннн кюлюпрхя;0;0;0;I_SUP384
тцсо хгдюржемрп люпйю;0;0;0;I_SUP385
ннн ар аеметхр;0;0;0;I_SUP386
ннн ярюрся-цпсоо;0;0;0;I_SUP387
ннн лхмхсл;0;0;0;I_SUP389
ннн ахй;0;0;0;I_SUP391
ннн хмрек ляй;0;0;0;I_SUP392
хо жшаю бхрюкхи юкейяюмдпнбхв;0;0;0;I_SUP393
ннн я-рпеид;0;0;0;I_SUP395
ннн цнярхмши дбнп;0;0;0;I_SUP398
ннн юкэ-рпеид;0;0;0;I_SUP399
ннн йпсрнм;0;0;0;I_SUP400
ннн юпнмю;0;0;0;I_SUP407
ннн кюйьепх бнпкд опндюйьм;0;0;0;I_SUP410
ART ALLIANCE DELUXE LTD;0;0;0;O_SUP003
ART ALLIANCE LTD (UK);0;0;0;O_SUP004
WELLVELROCK LTD;0;0;0;O_SUP005
JACOB & CO. WATCHES INC.;0;0;0;O_SUP006
WESTA GMBH;0;0;0;O_SUP009
YVES SAINT LAURENT;0;0;0;O_SUP084
CLARINS GROUP;0;0;0;O_SUP088
CALVIN KLEIN WATCHES;0;0;0;O_SUP101
CHANEL SKY;0;0;0;O_SUP138
FREDERIQUE CONSTANT;0;0;0;O_SUP219
LANCEL SKY;0;0;0;O_SUP424
WBDF_JAMESON;0;0;0;O_SUP470
BOLS SP.Z.O.O;0;0;0;O_SUP489
FOSTERS;0;0;0;O_SUP506
KAGANSKI AND CO.GMBH;0;0;0;O_SUP514
MD GURMEX LTD;0;0;0;O_SUP525
NEFT VODKA DISTRIBUTION LLC;0;0;0;O_SUP527
PERNOD RICARD EUROPE;0;0;0;O_SUP635
AIR AFFINITY LIMITED;0;0;0;O_SUP664
SWAROVSKI INTERNATIONAL DISTRIBUTION AG;0;0;0;O_SUP666
ARCOROS INC.;0;0;0;O_SUP667
BEST WINE CORPORATION;0;0;0;O_SUP669
RICHEMONT INTERNATIONAL SA;0;0;0;O_SUP670
