name;swsdfusdid;swsdfid;swsdpid;Vendor No_
C55555 CELLCOSMET & CELLMEN;31846685;31846685;0;
C60708 L CONNAUGHTON & SON;10907447;10907447;0;
C69999 RASKAT TD;35299122;35299122;0;
C87452 A.T.CROSS LTD;10907448;10907448;0;
C96385 CEDC;42829327;42829327;0;
C99918 MCG CONSULTANTS;0;0;15401914;
CA16543 CARNER OF BARCELONA оюптчл оюкюя;0;0;16222308;
CA16543 оюптчл оюкюя;0;0;16222308;
CC87654 COMME DES GARCONS едхмюъ ебпною;0;0;15582048;
CE32100 CERRUTI - едхмюъ ебпною;0;0;15012418;
CH12345 C.HERRERA - едхмюъ ебпною;0;0;14008006;
CK11111 CK WATCH & JEW CO;20820656;20820656;0;
CM00006 CREME DE LA MER E.LAUDER;25775436;25775436;0;
CO2222 CODELLO;0;0;16145612;
CO78404 COCOROSE;37872437;37872437;0;
D00235 DEBRISE DULAC;26043240;26043240;0;
D10003 DAVIDOFF INTERNATIONAL;10907250;10907250;0;
D10005 йщмдхкюим ннн;0;0;13530515;I_SUP148
D10059 UNOAERRE;10907191;10907191;0;
D11153 MAGERIT DARROW EURO;10907452;10907452;0;
D12321 DUBEY & SCHALDENBRAND;10907252;10907252;0;O_SUP216
D12329 OOO цй дюилнмд;43267543;43267543;0;
D20030 DOLCE & GABBANA P&G;0;0;16222253;
D30030 DOLCE & GABBANA MAKE-UP P&G;45123004;45123004;0;
D34567 DOLCE & GABBANA;10907355;10907355;0;
D35678 D&G - едхмюъ ебпною;0;0;14008010;
D50010 D&G P&G;24892618;24892618;0;
DE22222 DESIGUAL;0;0;15981558;
DG23456 DOLCE&GABBANA - едхмюъ ебпною;0;0;14008124;
DK33331 DYRBERG KERN;45123595;45123595;15981228;
DU55545 DUC D`O;45123194;45123194;0;
DZ55555 DREVO ZHIZNI OOO;42073729;42073729;15962795;
E03033 EDOX;32653273;32653273;16080150;
E10000 едхмюъ ебпною ункдхмц;0;0;10912753;I_SUP123
E10001 щйяоняепбхя OOO;0;0;10908930;
E10022 ESCADA P&G;0;0;16222630;
