GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122154;BALLANTINES                    ;;BALLANTINES                    ;B00848            ;BALLANTINES                    
45122447;BALLY                          ;;BALLY                          ;BALLY             ;BALLY                          
45122361;BALVENIE                       ;;BALVENIE                       ;BALVENIE          ;BALVENIE                       
45122276;BANG&OLUFSEN                   ;;BANG&OLUFSEN                   ;;BANG&OLUFSEN                   
;BAR PRODUCT                    ;16223090;BAR PRODUCT                    ;BAR PRODUCT       ;BAR PRODUCT                    
45122609;BARAKA                         ;;BARAKA                         ;BARAKA            ;BARAKA                         
45122316;BAUME&MERCIER                  ;;BAUME&MERCIER                  ;;BAUME&MERCIER                  
45122469;BBURAGO                        ;16222975;BBURAGO                        ;BBURAGO           ;BBURAGO                        
45122282;BEAU RIVAGE                    ;;BEAU RIVAGE                    ;BEAU RIVAGE       ;BEAU RIVAGE                    
45122474;BEBELINO                       ;16223013;BEBELINO                       ;BEBELINO          ;BEBELINO                       
45122812;BECHEROVKA                     ;;BECHEROVKA                     ;BECHEROVKA        ;BECHEROVKA                     
45122152;BEEFEATER                      ;;BEEFEATER                      ;BEEFEATER         ;BEEFEATER                      
45122802;BELLA SARA                     ;16223304;BELLA SARA                     ;;BELLA SARA                     
45123166;BELLS                          ;;BELLS                          ;BELLS             ;BELLS                          
45122371;BELUGA                         ;16223080;BELUGA                         ;BELUGA            ;BELUGA                         
45122553;BELVEDERE                      ;;BELVEDERE                      ;;BELVEDERE                      
45122792;BEN 10                         ;16223291;BEN 10                         ;;BEN 10                         
45122483;BENBAT                         ;16222998;BENBAT                         ;BENBAT            ;BENBAT                         
45122346;BERNEROY                       ;;BERNEROY                       ;BERNEROY          ;BERNEROY                       
;BINO TIANI                     ;16222629;BINO TIANI                     ;;BINO TIANI                     
45123077;BIOTHERM                       ;16222696;BIOTHERM                       ;BIOTHERM          ;BIOTHERM                       
45122488;BISQUIT                        ;;BISQUIT                        ;B00857            ;BISQUIT                        
45122733;BLACK VELVET                   ;;BLACK VELVET                   ;VELVET            ;BLACK VELVET                   
45122307;BLAVOD                         ;;BLAVOD                         ;BLAVOD            ;BLAVOD                         
45122428;BLUMARINE                      ;;BLUMARINE                      ;BLUMARINE         ;BLUMARINE                      
;BOBBI BROWN                    ;16222698;BOBBI BROWN                    ;;BOBBI BROWN                    
45123427;BODY SHOP                      ;16222669;BODY SHOP                      ;BODY SHOP         ;BODY SHOP                      
45123016;BOGATIRY                       ;;BOGATIRY                       ;;BOGATIRY                       
