GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122196;DRAMBUIE                       ;;DRAMBUIE                       ;DRAMBUIE          ;DRAMBUIE                       
45122463;DROVA                          ;;DROVA                          ;DROVA             ;DROVA                          
45122535;DSQUARED                       ;;DSQUARED                       ;DSQUARED          ;DSQUARED                       
45122826;DU BARRAILH                    ;;DU BARRAILH                    ;                  ;DU BARRAILH                    
45122341;DUBEY&SCHALDENBRAND            ;;DUBEY&SCHALDENBRAND            ;                  ;DUBEY&SCHALDENBRAND            
45123196;DUC D`O                        ;;DUC D`O                        ;B01452            ;DUC D`O                        
45122201;DUNHILL                        ;16222714;DUNHILL                        ;DUNHILL           ;DUNHILL                        
45123488;DUPONT                         ;;DUPONT                         ;DUPONT            ;DUPONT                         
45123860;DVD                            ;;DVD                            ;DVD               ;DVD                            
45123615;DYRBERG KERN                   ;16223118;DYRBERG KERN                   ;;DYRBERG KERN                   
45122774;E.PUCCI                        ;;E.PUCCI                        ;PUCCI             ;E.PUCCI                        
45123074;E_LAUDER                       ;16222967;E_LAUDER                       ;;E_LAUDER                       
45124879;EARNSHAW                       ;16223134;EARNSHAW                       ;;EARNSHAW                       
45122849;EASTPAK                        ;;EASTPAK                        ;;EASTPAK                        
45124237;ECHO                           ;;ECHO                           ;ECHO              ;ECHO                           
45122602;ECTACO                         ;;ECTACO                         ;;ECTACO                         
45122836;EDOX                           ;16223122;EDOX                           ;;EDOX                           
45123190;EGGS                           ;16223108;EGGS                           ;EGGS              ;EGGS                           
45125192;EIGHT BOB                      ;16223702;EIGHT BOB                      ;;EIGHT BOB                      
45122482;ELARI                          ;16223119;ELARI                          ;ELARI             ;ELARI                          
45122567;ELIE SAAB                      ;;ELIE SAAB                      ;ELIE SAAB         ;ELIE SAAB                      
45122430;EMPORIO ARMANI                 ;;EMPORIO ARMANI                 ;;EMPORIO ARMANI                 
45122419;EMTEC                          ;;EMTEC                          ;;EMTEC                          
45122681;ENERGIZER                      ;;ENERGIZER                      ;;ENERGIZER                      
45122562;ERMENEGILDO ZEGNA              ;;ERMENEGILDO ZEGNA              ;B00980            ;ERMENEGILDO ZEGNA              
45122427;ESCADA                         ;16222634;ESCADA                         ;ESCADA            ;ESCADA                         
45122662;ESCENTRIC MOLECULES            ;16222718;ESCENTRIC MOLECULES            ;ESCENTRIC MOLECULES;ESCENTRIC MOLECULES            
45126474;ESTEBAN                        ;16223946;ESTEBAN                        ;;ESTEBAN                        
45126373;ESTEE LAUDER                   ;;ESTEE LAUDER                   ;E_LAUDER          ;ESTEE LAUDER                   
45124858;ESTER BIJOUX                   ;16223123;ESTER BIJOUX                   ;ESTER BIJOUX      ;ESTER BIJOUX                   
45124031;ESTERK LUX PARFUME             ;;ESTERK LUX PARFUME             ;;ESTERK LUX PARFUME             
45123509;EVERVESS                       ;;EVERVESS                       ;;EVERVESS                       
;EXCELLANCE MOSCOW              ;16223704;EXCELLANCE MOSCOW              ;;EXCELLANCE MOSCOW              
;EXELLANCE MOSCOW               ;16223778;EXELLANCE MOSCOW               ;                  ;EXELLANCE MOSCOW               
45126411;EXTRA                          ;;EXTRA                          ;;EXTRA                          
45125221;F_ROCHER                       ;;F_ROCHER                       ;;F_ROCHER                       
;FABER CASTELL                  ;16223124;FABER CASTELL                  ;;FABER CASTELL                  
45122471;FAMOSA                         ;16222660;FAMOSA                         ;FAMOSA            ;FAMOSA                         
45122153;FAMOUS GROUSE                  ;;FAMOUS GROUSE                  ;F_GROUSE          ;FAMOUS GROUSE                  
45122691;FANCY                          ;16223003;FANCY                          ;;FANCY                          
45122226;FANTA                          ;16223094;FANTA                          ;FANTA             ;FANTA                          
45122505;FASHION ANGELS                 ;16223004;FASHION ANGELS                 ;FASHION ANGELS    ;FASHION ANGELS                 
45122257;FAZER                          ;;FAZER                          ;FAZER             ;FAZER                          
45123646;FEDOSKINO                      ;;FEDOSKINO                      ;;FEDOSKINO                      
45122376;FENDI                          ;16222719;FENDI                          ;FENDI             ;FENDI                          
;FERAUD                         ;16222720;FERAUD                         ;FERAUD            ;FERAUD                         
45126057;FERRARI                        ;16223875;FERRARI                        ;FERRARI           ;FERRARI                        
45126418;FERRARI JUNIOR                 ;;FERRARI JUNIOR                 ;;FERRARI JUNIOR                 
45122692;FERRE MILANO                   ;;FERRE MILANO                   ;;FERRE MILANO                   
45122261;FERRERO                        ;;FERRERO                        ;F_ROCHER          ;FERRERO                        
45124866;FERVOR                         ;16223175;FERVOR                         ;;FERVOR                         
45122798;FILA                           ;16223170;FILA                           ;;FILA                           
45123662;FILLY                          ;16222997;FILLY                          ;B01461            ;FILLY                          
45122891;FILODORO                       ;16223433;FILODORO                       ;;FILODORO                       
45122174;FINLANDIA                      ;;FINLANDIA                      ;FINLANDIA         ;FINLANDIA                      
45123663;FLYING FAIRY                   ;16223272;FLYING FAIRY                   ;B01462            ;FLYING FAIRY                   
;FOLLI FOLLIE                   ;16223125;FOLLI FOLLIE                   ;;FOLLI FOLLIE                   
45122256;FOSSIL                         ;;FOSSIL                         ;;FOSSIL                         
45126102;FRANCIS KURKDJIAN              ;;FRANCIS KURKDJIAN              ;B01429            ;FRANCIS KURKDJIAN              
45122475;FRANCK BOCLET                  ;16222722;FRANCK BOCLET                  ;FRANCK BOCLET     ;FRANCK BOCLET                  
45122639;FRANSAC                        ;;FRANSAC                        ;;FRANSAC                        
45122239;FRAPIN                         ;;FRAPIN                         ;FRAPIN            ;FRAPIN                         
45126264;FREDERIQUE CONSTANT            ;;FREDERIQUE CONSTANT            ;FCONSTANT         ;FREDERIQUE CONSTANT            
45125160;FREIXENET                      ;;FREIXENET                      ;;FREIXENET                      
45122270;FREY WILLE                     ;16223057;FREY WILLE                     ;;FREY WILLE                     
45123175;FUNRISE                        ;16222656;FUNRISE                        ;FUNRISE           ;FUNRISE                        
45122527;FURLA                          ;16223058;FURLA                          ;FURLA             ;FURLA                          
;G CAPULETTI                    ;16223776;G CAPULETTI                    ;                  ;G CAPULETTI                    
45125883;G_GOOSE                        ;;G_GOOSE                        ;;G_GOOSE                        
45124409;GALAXY                         ;16223337;GALAXY                         ;;GALAXY                         
45122814;GALLIANO                       ;16223161;GALLIANO                       ;GALLIANO          ;GALLIANO                       
45122672;GAMZE                          ;;GAMZE                          ;;GAMZE                          
45122495;GANCIA                         ;;GANCIA                         ;;GANCIA                         
45122813;GAULOISES                      ;;GAULOISES                      ;;GAULOISES                      
45123500;GEORGIA                        ;;GEORGIA                        ;;GEORGIA                        
45122501;GF FERRE                       ;;GF FERRE                       ;                  ;GF FERRE                       
45124040;GILLETTE                       ;;GILLETTE                       ;;GILLETTE                       
45122179;GIORGIO ARMANI                 ;16223319;GIORGIO ARMANI                 ;;GIORGIO ARMANI                 
;GIORGIO FEDON                  ;16222638;GIORGIO FEDON                  ;GIORGIO FEDON     ;GIORGIO FEDON                  
45125322;GIRLIE STYLE;;GIRLIE STYLE                   ;GIRLIE STYLE;GIRLIE STYLE    
;GIULIETTA CAPULETI             ;16223567;GIULIETTA CAPULETI             ;;GIULIETTA CAPULETI             
45122180;GIVENCHY                       ;16222723;GIVENCHY                       ;GIVENCHY          ;GIVENCHY                       
45122399;GLAMOUR                        ;;GLAMOUR                        ;GLAMOUR           ;GLAMOUR                        
45123513;GLAVSPIRT                      ;;GLAVSPIRT                      ;;GLAVSPIRT                      
45125891;GLEN DEVEROM                   ;;GLEN DEVEROM                   ;;GLEN DEVEROM                   
45122573;GLEN ELGIN                     ;;GLEN ELGIN                     ;GLEN WLGIN        ;GLEN ELGIN                     
45122165;GLENFIDDICH                    ;;GLENFIDDICH                    ;GLENF             ;GLENFIDDICH                    
45122832;GLENGOYNE                      ;;GLENGOYNE                      ;GLENGOYNE         ;GLENGOYNE                      
45124386;GLENKINCHI                     ;;GLENKINCHI                     ;GLENKINCHI        ;GLENKINCHI                     
45122166;GLENLIVET                      ;;GLENLIVET                      ;GLENLIVET         ;GLENLIVET                      
45122166;GLENLIVET                      ;;GLENLIVET                      ;GLENLIVET         ;GLENLIVET                      
45122373;GLENMORANGIE                   ;;GLENMORANGIE                   ;GLENMORANGIE      ;GLENMORANGIE                   
45122405;GLENROTHES                     ;;GLENROTHES                     ;GLENROTHES        ;GLENROTHES                     
45126347;GO_INT                         ;16223922;GO_INT                         ;GO_INT            ;GO_INT                         
45125157;GODET FRERES SA                ;;GODET FRERES SA                ;                  ;GODET FRERES SA                
45122348;GODIVA                         ;16223126;GODIVA                         ;GODIVA            ;GODIVA                         
45122375;GOEBEL                         ;;GOEBEL                         ;;GOEBEL                         
45124860;GOLD SILK                      ;;GOLD SILK                      ;;GOLD SILK                      
45122149;GORDONS                        ;16223081;GORDONS                        ;GORDONS           ;GORDONS                        
45122543;GOURJI                         ;;GOURJI                         ;;GOURJI                         
45126110;GRAGGANMORE                    ;;GRAGGANMORE                    ;GRAGGANMORE       ;GRAGGANMORE                    
45126110;GRAGGANMORE                    ;;GRAGGANMORE                    ;GRAGGANMORE       ;GRAGGANMORE                    
45122732;GRAND MARNIER                  ;;GRAND MARNIER                  ;GRAN_MARNIER      ;GRAND MARNIER                  
45123206;GRANTS                         ;;GRANTS                         ;GRANTS            ;GRANTS                         
45122339;GREY GOOSE                     ;;GREY GOOSE                     ;G_GOOSE           ;GREY GOOSE                     
45122751;GRIFF                          ;16223432;GRIFF                          ;GRIFFINS          ;GRIFF                          
45122300;GRIFFIN'S                      ;;GRIFFIN'S                      ;GRIFFINS          ;GRIFFIN'S                      
45122612;GROLSH                         ;16223099;GROLSH                         ;B01008            ;GROLSH                         
45122867;GU YUE LONG SHAN               ;;GU YUE LONG SHAN               ;;GU YUE LONG SHAN               
45122250;GUCCI                          ;16222724;GUCCI                          ;GUCCI             ;GUCCI                          
45122183;GUERLAIN                       ;16222725;GUERLAIN                       ;GUERLAIN          ;GUERLAIN                       
45122343;GUESS                          ;16223127;GUESS                          ;GUESS             ;GUESS                          
45122883;GUMMY CANDY                    ;16223139;GUMMY CANDY                    ;;GUMMY CANDY                    
45122199;GUYLIAN                        ;;GUYLIAN                        ;GUYLIAN           ;GUYLIAN                        
45123419;GZHEL                          ;16223111;GZHEL                          ;GZHEL             ;GZHEL                          
45122656;H.UPMANN                       ;;H.UPMANN                       ;;H.UPMANN                       
45124230;HAIG                           ;;HAIG                           ;HAIG              ;HAIG                           
45123393;HAMA                           ;16223340;HAMA                           ;HAMA              ;HAMA                           
45126265;HAMILTON                       ;;HAMILTON                       ;HAMILTON          ;HAMILTON                       
45122407;HAMMER&SOHNE                   ;;HAMMER&SOHNE                   ;;HAMMER&SOHNE                   
45125578;HANDGUM                        ;16223733;HANDGUM                        ;HANDGUM           ;HANDGUM                        
45124655;HAPPY PLUGS                    ;16223387;HAPPY PLUGS                    ;HAPPY PLUGS       ;HAPPY PLUGS                    
45122876;HAPPY WELL                     ;;HAPPY WELL                     ;;HAPPY WELL                     
45125162;HARDY                          ;;HARDY                          ;;HARDY                          
45122359;HASBRO                         ;16223005;HASBRO                         ;HASBRO            ;HASBRO                         
45122825;HAUT GOUJON                    ;;HAUT GOUJON                    ;;HAUT GOUJON                    
45122827;HAUT GRAVET                    ;;HAUT GRAVET                    ;;HAUT GRAVET                    
45122625;HAUT-BAILLY                    ;;HAUT-BAILLY                    ;;HAUT-BAILLY                    
45122787;HAUTS DE SAINT-ESTEPHE         ;;HAUTS DE SAINT-ESTEPHE         ;                  ;HAUTS DE SAINT-ESTEPHE         
45122308;HAVANA CLUB                    ;;HAVANA CLUB                    ;HAVANA            ;HAVANA CLUB                    
45124848;HEINEKEN                       ;;HEINEKEN                       ;HEINEKEN          ;HEINEKEN                       
45122288;HELENA RUBINSTEIN              ;16222729;HELENA RUBINSTEIN              ;;HELENA RUBINSTEIN              
45122723;HELLO KITTY                    ;16222726;HELLO KITTY                    ;HELLO KITTY       ;HELLO KITTY                    
45122415;HENDRICK'S                     ;;HENDRICK'S                     ;HENDRICKS         ;HENDRICK'S                     
45122222;HENNESSY                       ;16223101;HENNESSY                       ;HENNESSY          ;HENNESSY                       
45122221;HERMES                         ;16223071;HERMES                         ;HERMES            ;HERMES                         
45122853;HERRADURA                      ;;HERRADURA                      ;HERRADURA         ;HERRADURA                      
45126364;HGL                            ;16223927;HGL                            ;;HGL                            
45122417;HIGHLAND PARK                  ;;HIGHLAND PARK                  ;HIGHLAND PARK     ;HIGHLAND PARK                  
45124069;HILFIGER                       ;;HILFIGER                       ;HILFIGER          ;HILFIGER                       
45122220;HINE                           ;;HINE                           ;B01023            ;HINE                           
45122458;HISTOIRES DE PARFUM            ;16222727;HISTOIRES DE PARFUM            ;HISTOIRES DE PARFUM;HISTOIRES DE PARFUM            
45123468;HOHLOMA                        ;;HOHLOMA                        ;HOHLOMA           ;HOHLOMA                        
45123647;HOLUY                          ;;HOLUY                          ;HOLUY             ;HOLUY                          
45122479;HOUBIGANT                      ;16222728;HOUBIGANT                      ;HOUBIGANT         ;HOUBIGANT                      
45122237;HOYO                           ;16223214;HOYO                           ;;HOYO                           
45126257;HTI                            ;16223907;HTI                            ;;HTI                            
45122848;HUBBA BUBBA                    ;;HUBBA BUBBA                    ;B01025            ;HUBBA BUBBA                    
45122493;IAIN SINCLAIR                  ;16223217;IAIN SINCLAIR                  ;IAIN SINCLAIR     ;IAIN SINCLAIR                  
45123616;IBB                            ;;IBB                            ;                  ;IBB                            
45122525;ICE ICEBERG                    ;;ICE ICEBERG                    ;;ICE ICEBERG                    
45124884;ICE WATCH                      ;16223142;ICE WATCH                      ;;ICE WATCH                      
45122699;ICEBERG                        ;16222730;ICEBERG                        ;ICEBERG           ;ICEBERG                        
45123618;IDEAL                          ;;IDEAL                          ;IDEAL             ;IDEAL                          
45123394;INNERGIE                       ;;INNERGIE                       ;INNERGIE          ;INNERGIE                       
45125735;INSIDE OUT                     ;16223795;INSIDE OUT                     ;INSIDE OUT        ;INSIDE OUT                     
45122502;INVERNI                        ;;INVERNI                        ;;INVERNI                        
45124043;IRISH MIST                     ;;IRISH MIST                     ;;IRISH MIST                     
45122304;ISLE JURA                      ;;ISLE JURA                      ;ISLE_JURA         ;ISLE JURA                      
45124327;ISSEYMIY                       ;16222993;ISSEYMIY                       ;ISSEYMIY          ;ISSEYMIY                       
45122163;J&B                            ;;J&B                            ;J_B               ;J&B                            
45122278;J.P.CHENET                     ;;J.P.CHENET                     ;                  ;J.P.CHENET                     
45122194;J7                             ;;J7                             ;;J7                             
45122186;J_BEAM                         ;16223079;J_BEAM                         ;J_BEAM            ;J_BEAM                         
45124589;J_CHOO                         ;16223073;J_CHOO                         ;;J_CHOO                         
45125020;J_COUTURE                      ;16222734;J_COUTURE                      ;J_COUTURE         ;J_COUTURE                      
45122217;J_DANIELS                      ;16223078;J_DANIELS                      ;J_DANIELS         ;J_DANIELS                      
45122312;J_DESTR                        ;16223143;J_DESTR                        ;;J_DESTR                        
45122305;JACOB'S CREEK                  ;;JACOB'S CREEK                  ;JACOB'S CREEK     ;JACOB'S CREEK                  
45124878;JACQUE LEMANS                  ;16223146;JACQUE LEMANS                  ;;JACQUE LEMANS                  
45122850;JACQUES FAREL                  ;;JACQUES FAREL                  ;;JACQUES FAREL                  
45122550;JAGERMEISTER                   ;;JAGERMEISTER                   ;B00973            ;JAGERMEISTER                   
45122322;JAKKS PACIFIC                  ;16222657;JAKKS PACIFIC                  ;JAKKS PACIFIC     ;JAKKS PACIFIC                  
45122494;JAMES BOND                     ;16222733;JAMES BOND                     ;;JAMES BOND                     
45122161;JAMESON                        ;16223086;JAMESON                        ;JAMESON           ;JAMESON                        
45122828;JANDER                         ;;JANDER                         ;;JANDER                         
45122684;JANEKE                         ;16223059;JANEKE                         ;;JANEKE                         
45125415;JANNEAU                        ;;JANNEAU                        ;JANNEAU           ;JANNEAU                        
45125892;JCB                            ;16223874;JCB                            ;JCB               ;JCB                            
45122158;JEAN PAUL GAULTIER             ;;JEAN PAUL GAULTIER             ;;JEAN PAUL GAULTIER             
45122874;JESSIE                         ;16223307;JESSIE                         ;;JESSIE                         
45125417;JM                             ;;JM                             ;JM                ;JM                             
45122408;JOHN RICHMOND                  ;16222735;JOHN RICHMOND                  ;;JOHN RICHMOND                  
;JOHN RICHMONT                  ;16223775;JOHN RICHMONT                  ;;JOHN RICHMONT                  
45122698;JOSE CUERVO                    ;;JOSE CUERVO                    ;J CUE             ;JOSE CUERVO                    
45125490;JOSEPH FAIVELEY                ;;JOSEPH FAIVELEY                ;;JOSEPH FAIVELEY                
45122865;JOY TOY                        ;16223283;JOY TOY                        ;JOY TOY           ;JOY TOY                        
45122870;JUDITH LEIBER                  ;;JUDITH LEIBER                  ;;JUDITH LEIBER                  
45122718;JULIETTE HAS A GUN             ;16223211;JULIETTE HAS A GUN             ;JULIETTE HAS A GUN;JULIETTE HAS A GUN             
45122875;JUNFA                          ;16223284;JUNFA                          ;;JUNFA                          
45122396;JUST                           ;16223014;JUST                           ;;JUST                           
45126221;JUST CAVALLI                   ;;JUST CAVALLI                   ;;JUST CAVALLI                   
;JV                             ;16222732;JV                             ;;JV                             
45122164;JW                             ;16223255;JW                             ;JW                ;JW                             
45123750;K BY KILIAN                    ;16222851;K BY KILIAN                    ;K BY KILIAN       ;K BY KILIAN                    
45122680;KARL LAGERFELD                 ;;KARL LAGERFELD                 ;;KARL LAGERFELD                 
45122303;KAZUMIAN                       ;;KAZUMIAN                       ;KAZUMIAN          ;KAZUMIAN                       
45124464;KDLAB ARAREE                   ;;KDLAB ARAREE                   ;KDLAB ARAREE      ;KDLAB ARAREE                   
45122819;KEEL TOYS                      ;16223280;KEEL TOYS                      ;KEEL_TOYS         ;KEEL TOYS                      
45125128;KEIKO MECHERI                  ;16223540;KEIKO MECHERI                  ;B01479            ;KEIKO MECHERI                  
;KENNETH COLE                   ;16223335;KENNETH COLE                   ;;KENNETH COLE                   
45122212;KENT                           ;;KENT                           ;KENT              ;KENT                           
45122265;KENZO                          ;16222736;KENZO                          ;KENZO             ;KENZO                          
;KESSLORD                       ;16223773;KESSLORD                       ;;KESSLORD                       
45123528;KIDZTECH                       ;16222976;KIDZTECH                       ;KIDZTECH          ;KIDZTECH                       
45122411;KIEHL'S                        ;;KIEHL'S                        ;;KIEHL'S                        
;KIMMI                          ;16222737;KIMMI                          ;KIMMI             ;KIMMI                          
45125222;KINDER                         ;;KINDER                         ;KINDER            ;KINDER                         
45122808;KINDER BUENO                   ;;KINDER BUENO                   ;;KINDER BUENO                   
45122379;KINDER CHOCOLATE               ;;KINDER CHOCOLATE               ;;KINDER CHOCOLATE               
45122842;KINDER SCHOKO-BONS             ;;KINDER SCHOKO-BONS             ;;KINDER SCHOKO-BONS             
45122410;KINDER SURPRISE                ;;KINDER SURPRISE                ;;KINDER SURPRISE                
45122854;KING ROBERT                    ;;KING ROBERT                    ;;KING ROBERT                    
45122882;KINSKI                         ;;KINSKI                         ;KINSKI            ;KINSKI                         
45122315;KIPLING                        ;;KIPLING                        ;KIPLING           ;KIPLING                        
;KIPLING ( »œÀ»Õ√)              ;16223648;KIPLING ( »œÀ»Õ√)              ;KIPLING           ;KIPLING ( »œÀ»Õ√)              
45123418;KIT_KAT                        ;;KIT_KAT                        ;KIT_KAT           ;KIT_KAT                        
45124044;KNAPPOGUE                      ;;KNAPPOGUE                      ;;KNAPPOGUE                      
45122541;KODKOD                         ;16222980;KODKOD                         ;KODKOD            ;KODKOD                         
;KONDI                          ;16223098;KONDI                          ;;KONDI                          
45122744;KORKUNOV                       ;;KORKUNOV                       ;KORKUNOV          ;KORKUNOV                       
45122457;KORLOFF                        ;16222738;KORLOFF                        ;KORLOFF           ;KORLOFF                        
45122523;KREMLIN AWARD                  ;;KREMLIN AWARD                  ;B01064            ;KREMLIN AWARD                  
45122880;KRUG                           ;;KRUG                           ;KRUG CHAMP        ;KRUG                           
45123731;KUKLI MASLENNIKIVOY            ;;KUKLI MASLENNIKIVOY            ;KUKLI MASLENNIKIVOY;KUKLI MASLENNIKIVOY            
45122735;KWEICHOW MOUTAI                ;;KWEICHOW MOUTAI                ;;KWEICHOW MOUTAI                
45124857;KYUTEC                         ;16223128;KYUTEC                         ;;KYUTEC                         
45123051;L&M                            ;;L&M                            ;B01067            ;L&M                            
45122345;L'OCCITANE                     ;16222743;L'OCCITANE                     ;LOCCITANE         ;L'OCCITANE                     
45124863;LA CHANCE                      ;16223133;LA CHANCE                      ;;LA CHANCE                      
45122824;LA FLEUR DU BARRIL             ;;LA FLEUR DU BARRIL             ;;LA FLEUR DU BARRIL             
45122506;LA FONTAINE                    ;;LA FONTAINE                    ;;LA FONTAINE                    
45122823;LA GRAVELLE                    ;;LA GRAVELLE                    ;;LA GRAVELLE                    
45122620;LA LAGUNE                      ;;LA LAGUNE                      ;;LA LAGUNE                      
45123617;LA MARQUISE                    ;;LA MARQUISE                    ;;LA MARQUISE                    
45124047;LA MARQUISEL                   ;;LA MARQUISEL                   ;;LA MARQUISEL                   
45122368;LA MER                         ;;LA MER                         ;;LA MER                         
45122785;LA ROSE BEL AIR                ;;LA ROSE BEL AIR                ;;LA ROSE BEL AIR                
45124046;LA SOURCE                      ;;LA SOURCE                      ;;LA SOURCE                      
45124726;LA TWEEZ                       ;16223054;LA TWEEZ                       ;;LA TWEEZ                       
45122334;LA_PRA                         ;16223072;LA_PRA                         ;;LA_PRA                         
45123423;LACOSTE                        ;16222635;LACOSTE                        ;LACOSTE           ;LACOSTE                        
45122498;LACROIX                        ;;LACROIX                        ;;LACROIX                        
45122631;LAGREZETTE                     ;;LAGREZETTE                     ;;LAGREZETTE                     
45123529;LALALOOPSY                     ;16223271;LALALOOPSY                     ;;LALALOOPSY                     
;LAMARTHE                       ;16222768;LAMARTHE                       ;LAMARTHE          ;LAMARTHE                       
45122916;LAMARTIS                       ;;LAMARTIS                       ;;LAMARTIS                       
;LAMBORGHINI                    ;16223932;LAMBORGHINI                    ;;LAMBORGHINI                    
;LAMBORGINI                     ;16223405;LAMBORGINI                     ;;LAMBORGINI                     
45122360;LANCASTER                      ;16222739;LANCASTER                      ;LANCASTER         ;LANCASTER                      
45122372;LANCEL                         ;;LANCEL                         ;LANCEL            ;LANCEL                         
45122200;LANCOME                        ;16222632;LANCOME                        ;LANCOME           ;LANCOME                        
45122193;LANSON                         ;;LANSON                         ;B01078            ;LANSON                         
45122309;LANVIN                         ;16222740;LANVIN                         ;LANVIN            ;LANVIN                         
45122465;LAPHROAIG                      ;;LAPHROAIG                      ;LANPHROAIG        ;LAPHROAIG                      
45122353;LAPPONIA                       ;;LAPPONIA                       ;LAPPONIA          ;LAPPONIA                       
45122293;LAS CAMPANAS                   ;;LAS CAMPANAS                   ;;LAS CAMPANAS                   
45122571;LAUBADE                        ;;LAUBADE                        ;;LAUBADE                        
45126419;LAURA BIAGIOTTI DOLLS          ;;LAURA BIAGIOTTI DOLLS          ;LAURA BIAGIOTTI   ;LAURA BIAGIOTTI DOLLS          
45122234;LAURENT PERRIER                ;;LAURENT PERRIER                ;L_PERRIER         ;LAURENT PERRIER                
45122717;LAVA                           ;;LAVA                           ;;LAVA                           
45126161;LAVALINIERE                    ;;LAVALINIERE                    ;LAVALINIERE       ;LAVALINIERE                    
45126363;LBX                            ;16223926;LBX                            ;                  ;LBX                            
45122325;LE MEDOC DE PORT ROYAL         ;;LE MEDOC DE PORT ROYAL         ;;LE MEDOC DE PORT ROYAL         
45122633;LE PARVIS                      ;;LE PARVIS                      ;;LE PARVIS                      
45122632;LE PIGEONNIER                  ;;LE PIGEONNIER                  ;;LE PIGEONNIER                  
45123377;LEGO                           ;16222678;LEGO                           ;LEGO              ;LEGO                           
45123649;LEKSIKOV                       ;16223406;LEKSIKOV                       ;B01443            ;LEKSIKOV                       
45122678;LEONARD                        ;;LEONARD                        ;LEONARD           ;LEONARD                        
45122629;LEOVILLE POYFERRE              ;;LEOVILLE POYFERRE              ;;LEOVILLE POYFERRE              
45124235;LEPOW                          ;;LEPOW                          ;LEPOW             ;LEPOW                          
45122863;LEROCK                         ;;LEROCK                         ;;LEROCK                         
45122456;LES CONTES                     ;16222741;LES CONTES                     ;LES CONTES        ;LES CONTES                     
45122583;LES COPAINS                    ;;LES COPAINS                    ;;LES COPAINS                    
45122522;LES COPAINS BLUE               ;;LES COPAINS BLUE               ;;LES COPAINS BLUE               
45122665;LES ENFANTS                    ;;LES ENFANTS                    ;;LES ENFANTS                    
45122879;LI'L WOODZEEZ                  ;16223302;LI'L WOODZEEZ                  ;                  ;LI'L WOODZEEZ                  
45123557;LIFETRONS                      ;16223151;LIFETRONS                      ;;LIFETRONS                      
45122693;LIMONCELLO                     ;;LIMONCELLO                     ;LIMONCELLO        ;LIMONCELLO                     
45122260;LINDT                          ;16223149;LINDT                          ;LINDT             ;LINDT                          
45122190;LIPTON                         ;;LIPTON                         ;;LIPTON                         
;LITTLE TIKES                   ;16223270;LITTLE TIKES                   ;LITTLE TIKES      ;LITTLE TIKES                   
45122367;LLADRO                         ;;LLADRO                         ;;LLADRO                         
45125496;LOCCITANE                      ;;LOCCITANE                      ;LOCCITANE         ;LOCCITANE                      
45122547;LOEWE                          ;16223070;LOEWE                          ;LOEWE             ;LOEWE                          
45122701;LOGIC3                         ;;LOGIC3                         ;LOGIC3            ;LOGIC3                         
45122172;LONG JOHN                      ;;LONG JOHN                      ;B01096            ;LONG JOHN                      
45122395;LONGCHAMP                      ;16223060;LONGCHAMP                      ;LONGCHAMP         ;LONGCHAMP                      
45122287;LONGINES                       ;;LONGINES                       ;;LONGINES                       
45124045;LOREAL_MM                      ;16222690;LOREAL_MM                      ;LOREAL_MM         ;LOREAL_MM                      
45125154;LOUIS ROEDERER                 ;;LOUIS ROEDERER                 ;;LOUIS ROEDERER                 
45122801;LUCKY STRIKE                   ;;LUCKY STRIKE                   ;;LUCKY STRIKE                   
45122653;LUIS CABALLERO                 ;;LUIS CABALLERO                 ;;LUIS CABALLERO                 
45122773;LUIS MARTINES                  ;;LUIS MARTINES                  ;L_ MARTINEZ       ;LUIS MARTINES                  
45124859;LUNAVIT                        ;16223131;LUNAVIT                        ;;LUNAVIT                        
45123106;M&M                            ;16223152;M&M                            ;M&M               ;M&M                            
;M.BLANC                        ;16223558;M.BLANC                        ;MBLANC            ;M.BLANC                        
45124574;M_KORS                         ;;M_KORS                         ;;M_KORS                         
45123875;MACALLAN                       ;;MACALLAN                       ;MACALLAN          ;MACALLAN                       
45122478;MACKINLAY'S                    ;;MACKINLAY'S                    ;B01101;MACKINLAY'S                    
;MADARA                         ;16223931;MADARA                         ;;MADARA                         
45122394;MAGERIT                        ;;MAGERIT                        ;;MAGERIT                        
45122564;MAISON MARTIN MARGIELA         ;;MAISON MARTIN MARGIELA         ;B01104            ;MAISON MARTIN MARGIELA         
45122648;MAJORETTE                      ;16223285;MAJORETTE                      ;;MAJORETTE                      
45122275;MAJORICA                       ;;MAJORICA                       ;B01106;MAJORICA                       
45122380;MAKERS MARK                    ;;MAKERS MARK                    ;M_MARK            ;MAKERS MARK                    
45122182;MALIBU                         ;;MALIBU                         ;MALIBU            ;MALIBU                         
45122400;MALTESERS                      ;16223153;MALTESERS                      ;MALTESERS         ;MALTESERS                      
45122897;MAMBA                          ;;MAMBA                          ;MAMBA             ;MAMBA                          
45123136;MAMONT                         ;;MAMONT                         ;MAMONT            ;MAMONT                         
45122608;MANAKAS                        ;;MANAKAS                        ;;MANAKAS                        
45122831;MANCERA                        ;;MANCERA                        ;;MANCERA                        
45124882;MANOIR                         ;16223174;MANOIR                         ;;MANOIR                         
45122499;MANTERO                        ;;MANTERO                        ;;MANTERO                        
45125246;MARC JACOBS                    ;16223612;MARC JACOBS                    ;B01110            ;MARC JACOBS                    
